#|   catalogue                                                 |      R2  |    COMA1 |  COMA 2 |    ELL 1 |   ELL 2 |   TREF 1 |  TREF 2 |
| C_20240701_210912_W_5214A200.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0337 | -0.0227 |  -0.0205 |  0.0061 |  -0.2434 |  0.0281 |
| C_20240701_212950_W_5214A282.VIS.bin_01_01_stars2_mom.cat    |    1.976 |   0.0338 | -0.0197 |  -0.0217 |  0.0058 |  -0.2327 |  0.0327 |
| C_20240701_212950_W_5214A282.VIS.bin_02_01_stars2_mom.cat    |    1.993 |   0.0292 | -0.0210 |  -0.0223 |  0.0016 |  -0.2355 |  0.0352 |
| C_20240701_214736_W_5214A302.VIS.bin_01_01_stars2_mom.cat    |    1.981 |   0.0351 | -0.0235 |  -0.0218 |  0.0061 |  -0.2374 |  0.0308 |
| C_20240701_214736_W_5214A302.VIS.bin_02_01_stars2_mom.cat    |    1.999 |   0.0299 | -0.0173 |  -0.0239 |  0.0133 |  -0.2302 |  0.0212 |
| C_20240701_220522_W_5214A386.VIS.bin_01_01_stars2_mom.cat    |    1.974 |   0.0313 | -0.0160 |  -0.0207 |  0.0041 |  -0.2360 |  0.0284 |
| C_20240701_222308_W_5214A400.VIS.bin_01_01_stars2_mom.cat    |    1.974 |   0.0356 | -0.0126 |  -0.0187 |  0.0084 |  -0.2380 |  0.0283 |
| C_20240701_224413_W_5214A482.VIS.bin_01_01_stars2_mom.cat    |    1.976 |   0.0292 | -0.0114 |  -0.0216 |  0.0033 |  -0.2343 |  0.0277 |
| C_20240701_224413_W_5214A482.VIS.bin_02_01_stars2_mom.cat    |    1.945 |   0.0217 | -0.0134 |  -0.0203 |  0.0063 |  -0.2289 |  0.0255 |
| C_20240701_230159_W_5214A502.VIS.bin_01_01_stars2_mom.cat    |    1.992 |   0.0292 | -0.0153 |  -0.0280 |  0.0059 |  -0.2340 |  0.0258 |
| C_20240701_230159_W_5214A502.VIS.bin_02_01_stars2_mom.cat    |    1.939 |   0.0217 | -0.0127 |  -0.0180 |  0.0006 |  -0.2327 |  0.0310 |
| C_20240701_231945_W_5214A584.VIS.bin_01_01_stars2_mom.cat    |    1.961 |   0.0280 | -0.0178 |  -0.0165 |  0.0052 |  -0.2342 |  0.0245 |
| C_20240701_233731_W_5214A608.VIS.bin_01_01_stars2_mom.cat    |    1.986 |   0.0305 | -0.0191 |  -0.0239 |  0.0073 |  -0.2337 |  0.0225 |
| C_20240701_235854_W_5214A682.VIS.bin_01_01_stars2_mom.cat    |    1.998 |   0.0338 | -0.0179 |  -0.0238 |  0.0072 |  -0.2275 |  0.0279 |
| C_20240701_235854_W_5214A682.VIS.bin_02_01_stars2_mom.cat    |    1.966 |   0.0273 | -0.0117 |  -0.0293 |  0.0034 |  -0.2231 |  0.0207 |
| C_20240702_001640_W_5214A702.VIS.bin_01_01_stars2_mom.cat    |    1.988 |   0.0301 | -0.0184 |  -0.0197 |  0.0057 |  -0.2336 |  0.0290 |
| C_20240702_001640_W_5214A702.VIS.bin_02_01_stars2_mom.cat    |    1.957 |   0.0234 | -0.0138 |  -0.0229 |  0.0006 |  -0.2340 |  0.0274 |
| C_20240702_003426_W_5214A786.VIS.bin_01_01_stars2_mom.cat    |    1.981 |   0.0353 | -0.0195 |  -0.0186 |  0.0072 |  -0.2334 |  0.0316 |
| C_20240702_005212_W_5214A800.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0302 | -0.0180 |  -0.0219 |  0.0074 |  -0.2361 |  0.0277 |
| C_20240702_011251_W_5214A882.VIS.bin_01_01_stars2_mom.cat    |    6.376 |   0.0418 |  0.0775 |   0.0800 | -0.1606 |  -0.0667 |  0.0900 |
| C_20240702_011251_W_5214A882.VIS.bin_02_01_stars2_mom.cat    |    2.359 |   0.0834 |  0.0229 |  -0.0016 |  0.1414 |  -0.1734 |  0.0781 |
| C_20240702_013037_W_5214A902.VIS.bin_01_01_stars2_mom.cat    |    1.986 |   0.0303 | -0.0186 |  -0.0228 |  0.0062 |  -0.2315 |  0.0327 |
| C_20240702_013037_W_5214A902.VIS.bin_02_01_stars2_mom.cat    |    1.945 |   0.0270 | -0.0114 |  -0.0185 | -0.0003 |  -0.2332 |  0.0328 |
| C_20240702_014823_W_5214A984.VIS.bin_01_01_stars2_mom.cat    |    1.973 |   0.0312 | -0.0147 |  -0.0240 |  0.0064 |  -0.2313 |  0.0363 |
| C_20240702_020609_W_5214AA00.VIS.bin_01_01_stars2_mom.cat    |    1.967 |   0.0279 | -0.0191 |  -0.0221 |  0.0055 |  -0.2278 |  0.0373 |
| C_20240702_022648_W_5214AA82.VIS.bin_01_01_stars2_mom.cat    |    1.990 |   0.0340 | -0.0141 |  -0.0199 |  0.0058 |  -0.2369 |  0.0349 |
| C_20240702_022648_W_5214AA82.VIS.bin_02_01_stars2_mom.cat    |    1.978 |   0.0307 | -0.0231 |  -0.0210 |  0.0036 |  -0.2351 |  0.0305 |
| C_20240702_024434_W_5214AB02.VIS.bin_01_01_stars2_mom.cat    |    1.970 |   0.0329 | -0.0198 |  -0.0163 |  0.0032 |  -0.2399 |  0.0323 |
| C_20240702_024434_W_5214AB02.VIS.bin_02_01_stars2_mom.cat    |    1.987 |   0.0311 | -0.0209 |  -0.0247 |  0.0042 |  -0.2325 |  0.0226 |
| C_20240702_030220_W_5214AB86.VIS.bin_01_01_stars2_mom.cat    |    1.995 |   0.0324 | -0.0166 |  -0.0238 |  0.0068 |  -0.2289 |  0.0258 |
| C_20240702_032006_W_5214AC08.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0329 | -0.0207 |  -0.0181 |  0.0049 |  -0.2444 |  0.0277 |
| C_20240702_034044_W_5214AC82.VIS.bin_01_01_stars2_mom.cat    |    1.996 |   0.0356 | -0.0209 |  -0.0239 |  0.0045 |  -0.2322 |  0.0264 |
| C_20240702_034044_W_5214AC82.VIS.bin_02_01_stars2_mom.cat    |    1.972 |   0.0279 | -0.0314 |  -0.0193 |  0.0020 |  -0.2333 |  0.0275 |
| C_20240702_035830_W_5214AD02.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0344 | -0.0174 |  -0.0223 |  0.0053 |  -0.2317 |  0.0313 |
| C_20240702_035830_W_5214AD02.VIS.bin_02_01_stars2_mom.cat    |    1.989 |   0.0244 | -0.0180 |  -0.0244 | -0.0060 |  -0.2244 |  0.0211 |
| C_20240702_041616_W_5214AD84.VIS.bin_01_01_stars2_mom.cat    |    1.993 |   0.0343 | -0.0252 |  -0.0226 |  0.0035 |  -0.2318 |  0.0250 |
| C_20240702_043402_W_5214AE00.VIS.bin_01_01_stars2_mom.cat    |    1.995 |   0.0309 | -0.0247 |  -0.0205 |  0.0061 |  -0.2330 |  0.0359 |
| C_20240702_045440_W_5214AE82.VIS.bin_01_01_stars2_mom.cat    |    1.966 |   0.0329 | -0.0190 |  -0.0198 |  0.0051 |  -0.2384 |  0.0233 |
| C_20240702_045440_W_5214AE82.VIS.bin_02_01_stars2_mom.cat    |    1.984 |   0.0289 | -0.0204 |  -0.0209 |  0.0038 |  -0.2372 |  0.0321 |
| C_20240702_051226_W_5214AF02.VIS.bin_01_01_stars2_mom.cat    |    1.972 |   0.0318 | -0.0183 |  -0.0213 |  0.0063 |  -0.2403 |  0.0283 |
| C_20240702_051226_W_5214AF02.VIS.bin_02_01_stars2_mom.cat    |    1.951 |   0.0314 | -0.0224 |  -0.0192 |  0.0043 |  -0.2313 |  0.0308 |
| C_20240702_053012_W_5214AF86.VIS.bin_01_01_stars2_mom.cat    |    1.962 |   0.0328 | -0.0209 |  -0.0179 |  0.0036 |  -0.2348 |  0.0323 |
| C_20240702_054758_W_5214B008.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0312 | -0.0159 |  -0.0209 |  0.0062 |  -0.2371 |  0.0312 |
| C_20240702_060836_W_5214B082.VIS.bin_01_01_stars2_mom.cat    |    1.987 |   0.0287 | -0.0216 |  -0.0248 |  0.0103 |  -0.2272 |  0.0293 |
