image ; R2 ; e1 ; e2 ; score ; EASname 
C_20240701_102349_W_52149082.VIS.bin_01_01_  ;    1.984 ;  -0.0227 ;   0.0059 ;    18.47 ;  EUC_LE1_VIS-02379-1-W_20240701T102349.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_102349_W_52149082.VIS.bin_02_01_  ;    1.974 ;  -0.0273 ;   0.0047 ;     7.94 ;  EUC_LE1_VIS-02379-1-W_20240701T102349.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_104135_W_52149102.VIS.bin_01_01_  ;    1.982 ;  -0.0223 ;   0.0066 ;    18.91 ;  EUC_LE1_VIS-02379-1-W_20240701T104135.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_104135_W_52149102.VIS.bin_02_01_  ;    1.968 ;  -0.0189 ;  -0.0009 ;    16.41 ;  EUC_LE1_VIS-02379-1-W_20240701T104135.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_105921_W_52149184.VIS.bin_01_01_  ;    1.980 ;  -0.0207 ;   0.0072 ;    21.16 ;  EUC_LE1_VIS-02379-1-W_20240701T105921.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_111707_W_52149208.VIS.bin_01_01_  ;    1.980 ;  -0.0217 ;   0.0050 ;    16.88 ;  EUC_LE1_VIS-02379-1-W_20240701T111707.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_113745_W_52149282.VIS.bin_01_01_  ;    1.987 ;  -0.0239 ;   0.0075 ;    20.78 ;  EUC_LE1_VIS-02380-1-W_20240701T113745.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_113745_W_52149282.VIS.bin_02_01_  ;    1.962 ;  -0.0244 ;   0.0045 ;     6.03 ;  EUC_LE1_VIS-02380-1-W_20240701T113745.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_115531_W_52149302.VIS.bin_01_01_  ;    1.983 ;  -0.0260 ;   0.0053 ;    13.20 ;  EUC_LE1_VIS-02380-1-W_20240701T115531.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_115531_W_52149302.VIS.bin_02_01_  ;    1.952 ;  -0.0157 ;   0.0017 ;    11.55 ;  EUC_LE1_VIS-02380-1-W_20240701T115531.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_121317_W_52149386.VIS.bin_01_01_  ;    1.971 ;  -0.0176 ;   0.0048 ;    18.32 ;  EUC_LE1_VIS-02380-1-W_20240701T121317.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_123103_W_52149400.VIS.bin_01_01_  ;    1.969 ;  -0.0182 ;   0.0044 ;    16.01 ;  EUC_LE1_VIS-02380-1-W_20240701T123103.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_125141_W_52149482.VIS.bin_01_01_  ;    1.978 ;  -0.0184 ;   0.0043 ;    20.55 ;  EUC_LE1_VIS-02381-1-W_20240701T125141.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_125141_W_52149482.VIS.bin_02_01_  ;    1.962 ;  -0.0182 ;  -0.0001 ;    13.64 ;  EUC_LE1_VIS-02381-1-W_20240701T125141.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_130927_W_52149502.VIS.bin_01_01_  ;    1.986 ;  -0.0240 ;   0.0053 ;    17.08 ;  EUC_LE1_VIS-02381-1-W_20240701T130927.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_130927_W_52149502.VIS.bin_02_01_  ;    1.960 ;  -0.0176 ;  -0.0009 ;    14.57 ;  EUC_LE1_VIS-02381-1-W_20240701T130927.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_132713_W_52149584.VIS.bin_01_01_  ;    1.980 ;  -0.0206 ;   0.0051 ;    18.62 ;  EUC_LE1_VIS-02381-1-W_20240701T132713.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_134459_W_52149600.VIS.bin_01_01_  ;    1.991 ;  -0.0235 ;   0.0084 ;    25.35 ;  EUC_LE1_VIS-02381-1-W_20240701T134459.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_140537_W_52149682.VIS.bin_01_01_  ;    1.975 ;  -0.0171 ;   0.0080 ;    25.85 ;  EUC_LE1_VIS-02382-1-W_20240701T140537.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_140537_W_52149682.VIS.bin_02_01_  ;    1.973 ;  -0.0150 ;   0.0013 ;    23.83 ;  EUC_LE1_VIS-02382-1-W_20240701T140537.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_142323_W_52149702.VIS.bin_01_01_  ;    1.976 ;  -0.0197 ;   0.0046 ;    17.46 ;  EUC_LE1_VIS-02382-1-W_20240701T142323.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_142323_W_52149702.VIS.bin_02_01_  ;    1.968 ;  -0.0214 ;   0.0003 ;    11.70 ;  EUC_LE1_VIS-02382-1-W_20240701T142323.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_144109_W_52149786.VIS.bin_01_01_  ;    1.985 ;  -0.0223 ;   0.0072 ;    21.47 ;  EUC_LE1_VIS-02382-1-W_20240701T144109.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_145855_W_52149808.VIS.bin_01_01_  ;    1.972 ;  -0.0192 ;   0.0062 ;    17.74 ;  EUC_LE1_VIS-02382-1-W_20240701T145855.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_151938_W_52149882.VIS.bin_01_01_  ;    1.979 ;  -0.0179 ;   0.0053 ;    22.81 ;  EUC_LE1_VIS-02383-1-W_20240701T151938.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_151938_W_52149882.VIS.bin_02_01_  ;    1.965 ;  -0.0189 ;   0.0020 ;    12.62 ;  EUC_LE1_VIS-02383-1-W_20240701T151938.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_153724_W_52149902.VIS.bin_01_01_  ;    1.996 ;  -0.0241 ;   0.0057 ;    23.02 ;  EUC_LE1_VIS-02383-1-W_20240701T153724.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_153724_W_52149902.VIS.bin_02_01_  ;    2.033 ;  -0.0349 ;  -0.0234 ;   158.03 ;  EUC_LE1_VIS-02383-1-W_20240701T153724.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_155510_W_52149984.VIS.bin_01_01_  ;    1.975 ;  -0.0242 ;   0.0045 ;    10.97 ;  EUC_LE1_VIS-02383-1-W_20240701T155510.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_161256_W_52149A00.VIS.bin_01_01_  ;    1.984 ;  -0.0211 ;   0.0067 ;    21.98 ;  EUC_LE1_VIS-02383-1-W_20240701T161256.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_163334_W_52149A82.VIS.bin_01_01_  ;    1.964 ;  -0.0175 ;   0.0052 ;    15.23 ;  EUC_LE1_VIS-02384-1-W_20240701T163334.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_163334_W_52149A82.VIS.bin_02_01_  ;    1.981 ;  -0.0180 ;   0.0031 ;    22.64 ;  EUC_LE1_VIS-02384-1-W_20240701T163334.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_165120_W_52149B02.VIS.bin_01_01_  ;    4.680 ;   0.3191 ;   0.1181 ; 63371.50 ;  EUC_LE1_VIS-02384-1-W_20240701T165120.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_165120_W_52149B02.VIS.bin_02_01_  ;    2.588 ;  -0.0843 ;   0.0441 ;  1506.06 ;  EUC_LE1_VIS-02384-1-W_20240701T165120.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_170906_W_52149B86.VIS.bin_01_01_  ;    1.978 ;  -0.0176 ;   0.0031 ;    21.54 ;  EUC_LE1_VIS-02384-1-W_20240701T170906.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_172652_W_52149C08.VIS.bin_01_01_  ;    1.986 ;  -0.0199 ;   0.0054 ;    23.58 ;  EUC_LE1_VIS-02384-1-W_20240701T172652.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_174733_W_52149C82.VIS.bin_01_01_  ;    1.975 ;  -0.0222 ;   0.0023 ;    12.77 ;  EUC_LE1_VIS-02385-1-W_20240701T174733.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_174733_W_52149C82.VIS.bin_02_01_  ;    1.975 ;  -0.0290 ;   0.0092 ;    14.29 ;  EUC_LE1_VIS-02385-1-W_20240701T174733.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_180519_W_52149D02.VIS.bin_01_01_  ;    1.979 ;  -0.0221 ;   0.0046 ;    15.48 ;  EUC_LE1_VIS-02385-1-W_20240701T180519.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_180519_W_52149D02.VIS.bin_02_01_  ;    1.963 ;  -0.0226 ;  -0.0000 ;     8.73 ;  EUC_LE1_VIS-02385-1-W_20240701T180519.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_182305_W_52149D84.VIS.bin_01_01_  ;    1.968 ;  -0.0205 ;   0.0049 ;    12.60 ;  EUC_LE1_VIS-02385-1-W_20240701T182305.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_184051_W_52149E00.VIS.bin_01_01_  ;    1.974 ;  -0.0197 ;   0.0063 ;    18.14 ;  EUC_LE1_VIS-02385-1-W_20240701T184051.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_190129_W_52149E82.VIS.bin_01_01_  ;    1.978 ;  -0.0213 ;   0.0044 ;    15.97 ;  EUC_LE1_VIS-02386-1-W_20240701T190129.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_190129_W_52149E82.VIS.bin_02_01_  ;    1.958 ;  -0.0215 ;  -0.0016 ;    10.17 ;  EUC_LE1_VIS-02386-1-W_20240701T190129.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_191915_W_52149F02.VIS.bin_01_01_  ;    1.980 ;  -0.0236 ;   0.0046 ;    14.00 ;  EUC_LE1_VIS-02386-1-W_20240701T191915.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_191915_W_52149F02.VIS.bin_02_01_  ;    1.956 ;  -0.0184 ;   0.0020 ;     9.45 ;  EUC_LE1_VIS-02386-1-W_20240701T191915.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_193701_W_52149F86.VIS.bin_01_01_  ;    1.973 ;  -0.0164 ;   0.0064 ;    23.28 ;  EUC_LE1_VIS-02386-1-W_20240701T193701.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_195447_W_5214A008.VIS.bin_01_01_  ;    1.982 ;  -0.0187 ;   0.0019 ;    22.07 ;  EUC_LE1_VIS-02386-1-W_20240701T195447.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_201554_W_5214A082.VIS.bin_01_01_  ;    1.970 ;  -0.0206 ;   0.0068 ;    15.60 ;  EUC_LE1_VIS-02387-1-W_20240701T201554.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_201554_W_5214A082.VIS.bin_02_01_  ;    1.955 ;  -0.0185 ;   0.0014 ;     9.17 ;  EUC_LE1_VIS-02387-1-W_20240701T201554.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_203340_W_5214A102.VIS.bin_01_01_  ;    1.972 ;  -0.0199 ;   0.0041 ;    14.79 ;  EUC_LE1_VIS-02387-1-W_20240701T203340.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_203340_W_5214A102.VIS.bin_02_01_  ;    1.970 ;  -0.0208 ;   0.0026 ;    12.24 ;  EUC_LE1_VIS-02387-1-W_20240701T203340.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_205126_W_5214A184.VIS.bin_01_01_  ;    1.975 ;  -0.0206 ;   0.0086 ;    21.38 ;  EUC_LE1_VIS-02387-1-W_20240701T205126.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_210912_W_5214A200.VIS.bin_01_01_  ;    1.982 ;  -0.0205 ;   0.0061 ;    20.98 ;  EUC_LE1_VIS-02387-1-W_20240701T210912.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_212950_W_5214A282.VIS.bin_01_01_  ;    1.976 ;  -0.0217 ;   0.0058 ;    15.64 ;  EUC_LE1_VIS-02388-1-W_20240701T212950.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_212950_W_5214A282.VIS.bin_02_01_  ;    1.993 ;  -0.0223 ;   0.0016 ;    22.69 ;  EUC_LE1_VIS-02388-1-W_20240701T212950.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_214736_W_5214A302.VIS.bin_01_01_  ;    1.981 ;  -0.0218 ;   0.0061 ;    18.42 ;  EUC_LE1_VIS-02388-1-W_20240701T214736.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_214736_W_5214A302.VIS.bin_02_01_  ;    1.999 ;  -0.0239 ;   0.0133 ;    44.51 ;  EUC_LE1_VIS-02388-1-W_20240701T214736.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_220522_W_5214A386.VIS.bin_01_01_  ;    1.974 ;  -0.0207 ;   0.0041 ;    14.63 ;  EUC_LE1_VIS-02388-1-W_20240701T220522.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_222308_W_5214A400.VIS.bin_01_01_  ;    1.974 ;  -0.0187 ;   0.0084 ;    23.35 ;  EUC_LE1_VIS-02388-1-W_20240701T222308.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_224413_W_5214A482.VIS.bin_01_01_  ;    1.976 ;  -0.0216 ;   0.0033 ;    14.08 ;  EUC_LE1_VIS-02389-1-W_20240701T224413.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_224413_W_5214A482.VIS.bin_02_01_  ;    1.945 ;  -0.0203 ;   0.0063 ;     6.24 ;  EUC_LE1_VIS-02389-1-W_20240701T224413.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_230159_W_5214A502.VIS.bin_01_01_  ;    1.992 ;  -0.0280 ;   0.0059 ;    15.94 ;  EUC_LE1_VIS-02389-1-W_20240701T230159.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_230159_W_5214A502.VIS.bin_02_01_  ;    1.939 ;  -0.0180 ;   0.0006 ;     5.14 ;  EUC_LE1_VIS-02389-1-W_20240701T230159.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_231945_W_5214A584.VIS.bin_01_01_  ;    1.961 ;  -0.0165 ;   0.0052 ;    15.33 ;  EUC_LE1_VIS-02389-1-W_20240701T231945.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_233731_W_5214A608.VIS.bin_01_01_  ;    1.986 ;  -0.0239 ;   0.0073 ;    19.89 ;  EUC_LE1_VIS-02389-1-W_20240701T233731.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_235854_W_5214A682.VIS.bin_01_01_  ;    1.998 ;  -0.0238 ;   0.0072 ;    26.84 ;  EUC_LE1_VIS-02390-1-W_20240701T235854.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_235854_W_5214A682.VIS.bin_02_01_  ;    1.966 ;  -0.0293 ;   0.0034 ;     3.95 ;  EUC_LE1_VIS-02390-1-W_20240701T235854.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_001640_W_5214A702.VIS.bin_01_01_  ;    1.988 ;  -0.0197 ;   0.0057 ;    25.52 ;  EUC_LE1_VIS-02390-1-W_20240702T001640.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_001640_W_5214A702.VIS.bin_02_01_  ;    1.957 ;  -0.0229 ;   0.0006 ;     5.95 ;  EUC_LE1_VIS-02390-1-W_20240702T001640.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_003426_W_5214A786.VIS.bin_01_01_  ;    1.981 ;  -0.0186 ;   0.0072 ;    25.25 ;  EUC_LE1_VIS-02390-1-W_20240702T003426.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_005212_W_5214A800.VIS.bin_01_01_  ;    1.982 ;  -0.0219 ;   0.0074 ;    20.77 ;  EUC_LE1_VIS-02390-1-W_20240702T005212.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_011251_W_5214A882.VIS.bin_01_01_  ;    6.376 ;   0.0800 ;  -0.1606 ; 102360.75 ;  EUC_LE1_VIS-02391-1-W_20240702T011251.000000Z_01_01_01.00_EUCLIDSOC
C_20240702_011251_W_5214A882.VIS.bin_02_01_  ;    2.359 ;  -0.0016 ;   0.1414 ;  4671.48 ;  EUC_LE1_VIS-02391-1-W_20240702T011251.000000Z_02_01_01.00_EUCLIDSOC
C_20240702_013037_W_5214A902.VIS.bin_01_01_  ;    1.986 ;  -0.0228 ;   0.0062 ;    19.79 ;  EUC_LE1_VIS-02391-1-W_20240702T013037.000000Z_01_01_01.00_EUCLIDSOC
