image ; R2 ; e1 ; e2 ; score ; EASname 
C_20240708_154006_W_5215C580.VIS.bin_01_01_  ;    1.962 ;  -0.0193 ;   0.0083 ;    16.47 ;  EUC_LE1_VIS-02509-1-W_20240708T154006.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_160036_W_5215C602.VIS.bin_01_01_  ;    1.973 ;  -0.0178 ;   0.0067 ;    21.23 ;  EUC_LE1_VIS-02510-1-W_20240708T160036.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_160036_W_5215C602.VIS.bin_02_01_  ;    1.961 ;  -0.0199 ;   0.0036 ;     9.64 ;  EUC_LE1_VIS-02510-1-W_20240708T160036.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_161822_W_5215C682.VIS.bin_01_01_  ;    1.973 ;  -0.0188 ;   0.0069 ;    19.88 ;  EUC_LE1_VIS-02510-1-W_20240708T161822.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_161822_W_5215C682.VIS.bin_02_01_  ;    1.956 ;  -0.0187 ;  -0.0012 ;    11.88 ;  EUC_LE1_VIS-02510-1-W_20240708T161822.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_163608_W_5215C706.VIS.bin_01_01_  ;    1.978 ;  -0.0219 ;   0.0057 ;    16.25 ;  EUC_LE1_VIS-02510-1-W_20240708T163608.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_165354_W_5215C780.VIS.bin_01_01_  ;    1.993 ;  -0.0242 ;   0.0086 ;    25.89 ;  EUC_LE1_VIS-02510-1-W_20240708T165354.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_171430_W_5215C802.VIS.bin_01_01_  ;    1.966 ;  -0.0161 ;   0.0055 ;    18.81 ;  EUC_LE1_VIS-02511-1-W_20240708T171430.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_171430_W_5215C802.VIS.bin_02_01_  ;    1.947 ;  -0.0164 ;  -0.0013 ;    11.51 ;  EUC_LE1_VIS-02511-1-W_20240708T171430.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_173216_W_5215C882.VIS.bin_01_01_  ;    1.962 ;  -0.0157 ;   0.0045 ;    16.56 ;  EUC_LE1_VIS-02511-1-W_20240708T173216.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_173216_W_5215C882.VIS.bin_02_01_  ;    1.962 ;  -0.0196 ;  -0.0069 ;    27.68 ;  EUC_LE1_VIS-02511-1-W_20240708T173216.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_175002_W_5215C904.VIS.bin_01_01_  ;    1.962 ;  -0.0199 ;   0.0051 ;    10.95 ;  EUC_LE1_VIS-02511-1-W_20240708T175002.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_180748_W_5215C988.VIS.bin_01_01_  ;    1.970 ;  -0.0172 ;   0.0071 ;    21.22 ;  EUC_LE1_VIS-02511-1-W_20240708T180748.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_182820_W_5215CA02.VIS.bin_01_01_  ;    1.980 ;  -0.0220 ;   0.0042 ;    15.89 ;  EUC_LE1_VIS-02512-1-W_20240708T182820.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_182820_W_5215CA02.VIS.bin_02_01_  ;    1.956 ;  -0.0209 ;   0.0009 ;     7.19 ;  EUC_LE1_VIS-02512-1-W_20240708T182820.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_184606_W_5215CA82.VIS.bin_01_01_  ;    1.966 ;  -0.0180 ;   0.0077 ;    18.93 ;  EUC_LE1_VIS-02512-1-W_20240708T184606.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_184606_W_5215CA82.VIS.bin_02_01_  ;    1.969 ;  -0.0240 ;   0.0011 ;     8.68 ;  EUC_LE1_VIS-02512-1-W_20240708T184606.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_190352_W_5215CB06.VIS.bin_01_01_  ;    1.982 ;  -0.0221 ;   0.0046 ;    17.04 ;  EUC_LE1_VIS-02512-1-W_20240708T190352.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_192138_W_5215CB80.VIS.bin_01_01_  ;    1.965 ;  -0.0198 ;   0.0062 ;    13.55 ;  EUC_LE1_VIS-02512-1-W_20240708T192138.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_194209_W_5215CC02.VIS.bin_01_01_  ;    1.976 ;  -0.0225 ;   0.0052 ;    13.97 ;  EUC_LE1_VIS-02513-1-W_20240708T194209.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_194209_W_5215CC02.VIS.bin_02_01_  ;    1.988 ;  -0.0372 ;   0.0013 ;     8.09 ;  EUC_LE1_VIS-02513-1-W_20240708T194209.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_195955_W_5215CC82.VIS.bin_01_01_  ;    1.977 ;  -0.0229 ;   0.0076 ;    17.23 ;  EUC_LE1_VIS-02513-1-W_20240708T195955.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_195955_W_5215CC82.VIS.bin_02_01_  ;    1.970 ;  -0.0219 ;   0.0007 ;    11.63 ;  EUC_LE1_VIS-02513-1-W_20240708T195955.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_201741_W_5215CD04.VIS.bin_01_01_  ;    1.971 ;  -0.0204 ;   0.0056 ;    14.78 ;  EUC_LE1_VIS-02513-1-W_20240708T201741.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_203527_W_5215CD80.VIS.bin_01_01_  ;    1.982 ;  -0.0247 ;   0.0033 ;    13.03 ;  EUC_LE1_VIS-02513-1-W_20240708T203527.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_205606_W_5215CE02.VIS.bin_01_01_  ;    1.963 ;  -0.0194 ;   0.0050 ;    11.92 ;  EUC_LE1_VIS-02514-1-W_20240708T205606.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_205606_W_5215CE02.VIS.bin_02_01_  ;    1.973 ;  -0.0130 ;   0.0088 ;    34.55 ;  EUC_LE1_VIS-02514-1-W_20240708T205606.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_211352_W_5215CE82.VIS.bin_01_01_  ;    1.975 ;  -0.0213 ;   0.0049 ;    14.82 ;  EUC_LE1_VIS-02514-1-W_20240708T211352.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_211352_W_5215CE82.VIS.bin_02_01_  ;    1.965 ;  -0.0177 ;   0.0012 ;    14.71 ;  EUC_LE1_VIS-02514-1-W_20240708T211352.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_213138_W_5215CF06.VIS.bin_01_01_  ;    1.966 ;  -0.0210 ;   0.0054 ;    11.56 ;  EUC_LE1_VIS-02514-1-W_20240708T213138.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_214924_W_5215CF88.VIS.bin_01_01_  ;    1.979 ;  -0.0233 ;   0.0063 ;    15.63 ;  EUC_LE1_VIS-02514-1-W_20240708T214924.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_221007_W_5215D002.VIS.bin_01_01_  ;    1.973 ;  -0.0248 ;   0.0032 ;     9.00 ;  EUC_LE1_VIS-02515-1-W_20240708T221007.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_221007_W_5215D002.VIS.bin_02_01_  ;    1.964 ;  -0.0195 ;   0.0060 ;    13.26 ;  EUC_LE1_VIS-02515-1-W_20240708T221007.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_222753_W_5215D082.VIS.bin_01_01_  ;    1.969 ;  -0.0208 ;   0.0061 ;    13.90 ;  EUC_LE1_VIS-02515-1-W_20240708T222753.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_222753_W_5215D082.VIS.bin_02_01_  ;    2.000 ;  -0.0399 ;   0.0047 ;    11.55 ;  EUC_LE1_VIS-02515-1-W_20240708T222753.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_224539_W_5215D104.VIS.bin_01_01_  ;    1.987 ;  -0.0264 ;   0.0053 ;    14.63 ;  EUC_LE1_VIS-02515-1-W_20240708T224539.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_230325_W_5215D180.VIS.bin_01_01_  ;    1.977 ;  -0.0205 ;   0.0037 ;    16.28 ;  EUC_LE1_VIS-02515-1-W_20240708T230325.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_232403_W_5215D202.VIS.bin_01_01_  ;    1.983 ;  -0.0224 ;   0.0059 ;    18.37 ;  EUC_LE1_VIS-02516-1-W_20240708T232403.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_232403_W_5215D202.VIS.bin_02_01_  ;    1.968 ;  -0.0203 ;   0.0047 ;    12.71 ;  EUC_LE1_VIS-02516-1-W_20240708T232403.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_234149_W_5215D282.VIS.bin_01_01_  ;    1.975 ;  -0.0183 ;   0.0054 ;    19.87 ;  EUC_LE1_VIS-02516-1-W_20240708T234149.000000Z_01_01_01.00_EUCLIDSOC
C_20240708_234149_W_5215D282.VIS.bin_02_01_  ;    1.979 ;  -0.0258 ;   0.0017 ;    10.62 ;  EUC_LE1_VIS-02516-1-W_20240708T234149.000000Z_02_01_01.00_EUCLIDSOC
C_20240708_235935_W_5215D306.VIS.bin_01_01_  ;    1.966 ;  -0.0191 ;   0.0054 ;    14.03 ;  EUC_LE1_VIS-02516-1-W_20240708T235935.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_001721_W_5215D388.VIS.bin_01_01_  ;    1.965 ;  -0.0177 ;   0.0040 ;    14.57 ;  EUC_LE1_VIS-02516-1-W_20240709T001721.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_003759_W_5215D402.VIS.bin_01_01_  ;    1.978 ;  -0.0214 ;   0.0045 ;    15.89 ;  EUC_LE1_VIS-02517-1-W_20240709T003759.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_003759_W_5215D402.VIS.bin_02_01_  ;    1.975 ;  -0.0233 ;  -0.0001 ;    12.90 ;  EUC_LE1_VIS-02517-1-W_20240709T003759.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_005545_W_5215D482.VIS.bin_01_01_  ;    1.968 ;  -0.0178 ;   0.0070 ;    19.03 ;  EUC_LE1_VIS-02517-1-W_20240709T005545.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_005545_W_5215D482.VIS.bin_02_01_  ;    1.976 ;  -0.0217 ;  -0.0002 ;    15.49 ;  EUC_LE1_VIS-02517-1-W_20240709T005545.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_011331_W_5215D504.VIS.bin_01_01_  ;    1.972 ;  -0.0170 ;   0.0060 ;    21.10 ;  EUC_LE1_VIS-02517-1-W_20240709T011331.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_013117_W_5215D580.VIS.bin_01_01_  ;    1.977 ;  -0.0186 ;   0.0069 ;    22.42 ;  EUC_LE1_VIS-02517-1-W_20240709T013117.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_015156_W_5215D602.VIS.bin_01_01_  ;    1.982 ;  -0.0243 ;   0.0071 ;    17.02 ;  EUC_LE1_VIS-02518-1-W_20240709T015156.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_015156_W_5215D602.VIS.bin_02_01_  ;    1.966 ;  -0.0230 ;   0.0005 ;     8.97 ;  EUC_LE1_VIS-02518-1-W_20240709T015156.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_020942_W_5215D682.VIS.bin_01_01_  ;    1.974 ;  -0.0172 ;   0.0077 ;    24.51 ;  EUC_LE1_VIS-02518-1-W_20240709T020942.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_020942_W_5215D682.VIS.bin_02_01_  ;    1.950 ;  -0.0168 ;   0.0055 ;    10.49 ;  EUC_LE1_VIS-02518-1-W_20240709T020942.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_022728_W_5215D706.VIS.bin_01_01_  ;    1.986 ;  -0.0203 ;   0.0075 ;    25.81 ;  EUC_LE1_VIS-02518-1-W_20240709T022728.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_024514_W_5215D788.VIS.bin_01_01_  ;    1.992 ;  -0.0230 ;   0.0063 ;    23.08 ;  EUC_LE1_VIS-02518-1-W_20240709T024514.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_030553_W_5215D802.VIS.bin_01_01_  ;    1.979 ;  -0.0211 ;   0.0039 ;    16.52 ;  EUC_LE1_VIS-02519-1-W_20240709T030553.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_030553_W_5215D802.VIS.bin_02_01_  ;    1.961 ;  -0.0244 ;   0.0000 ;     6.55 ;  EUC_LE1_VIS-02519-1-W_20240709T030553.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_032339_W_5215D882.VIS.bin_01_01_  ;    1.993 ;  -0.0218 ;   0.0048 ;    24.11 ;  EUC_LE1_VIS-02519-1-W_20240709T032339.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_032339_W_5215D882.VIS.bin_02_01_  ;    1.970 ;  -0.0199 ;  -0.0003 ;    15.19 ;  EUC_LE1_VIS-02519-1-W_20240709T032339.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_034125_W_5215D904.VIS.bin_01_01_  ;    1.982 ;  -0.0177 ;   0.0060 ;    25.81 ;  EUC_LE1_VIS-02519-1-W_20240709T034125.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_035911_W_5215D980.VIS.bin_01_01_  ;    1.978 ;  -0.0188 ;   0.0068 ;    22.49 ;  EUC_LE1_VIS-02519-1-W_20240709T035911.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_041954_W_5215DA02.VIS.bin_01_01_  ;    1.977 ;  -0.0213 ;   0.0052 ;    16.08 ;  EUC_LE1_VIS-02520-1-W_20240709T041954.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_041954_W_5215DA02.VIS.bin_02_01_  ;    1.957 ;  -0.0155 ;   0.0023 ;    13.90 ;  EUC_LE1_VIS-02520-1-W_20240709T041954.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_043740_W_5215DA82.VIS.bin_01_01_  ;    1.979 ;  -0.0213 ;   0.0058 ;    17.73 ;  EUC_LE1_VIS-02520-1-W_20240709T043740.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_043740_W_5215DA82.VIS.bin_02_01_  ;    1.962 ;  -0.0196 ;   0.0016 ;    10.51 ;  EUC_LE1_VIS-02520-1-W_20240709T043740.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_045526_W_5215DB06.VIS.bin_01_01_  ;    1.969 ;  -0.0198 ;   0.0042 ;    13.53 ;  EUC_LE1_VIS-02520-1-W_20240709T045526.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_051312_W_5215DB80.VIS.bin_01_01_  ;    1.977 ;  -0.0193 ;   0.0032 ;    18.03 ;  EUC_LE1_VIS-02520-1-W_20240709T051312.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_053357_W_5215DC02.VIS.bin_01_01_  ;    1.988 ;  -0.0202 ;   0.0068 ;    26.06 ;  EUC_LE1_VIS-02521-1-W_20240709T053357.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_053357_W_5215DC02.VIS.bin_02_01_  ;    1.961 ;  -0.0149 ;  -0.0067 ;    33.52 ;  EUC_LE1_VIS-02521-1-W_20240709T053357.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_055143_W_5215DC82.VIS.bin_01_01_  ;    1.984 ;  -0.0217 ;   0.0042 ;    18.49 ;  EUC_LE1_VIS-02521-1-W_20240709T055143.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_055143_W_5215DC82.VIS.bin_02_01_  ;    1.955 ;  -0.0223 ;   0.0053 ;     6.22 ;  EUC_LE1_VIS-02521-1-W_20240709T055143.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_060929_W_5215DD04.VIS.bin_01_01_  ;    1.986 ;  -0.0212 ;   0.0069 ;    23.28 ;  EUC_LE1_VIS-02521-1-W_20240709T060929.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_062715_W_5215DD88.VIS.bin_01_01_  ;    1.984 ;  -0.0203 ;   0.0065 ;    23.01 ;  EUC_LE1_VIS-02521-1-W_20240709T062715.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_064753_W_5215DE02.VIS.bin_01_01_  ;    1.992 ;  -0.0278 ;   0.0065 ;    16.93 ;  EUC_LE1_VIS-02522-1-W_20240709T064753.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_064753_W_5215DE02.VIS.bin_02_01_  ;    1.946 ;  -0.0178 ;   0.0070 ;     9.90 ;  EUC_LE1_VIS-02522-1-W_20240709T064753.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_070539_W_5215DE82.VIS.bin_01_01_  ;    1.997 ;  -0.0253 ;   0.0070 ;    23.57 ;  EUC_LE1_VIS-02522-1-W_20240709T070539.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_070539_W_5215DE82.VIS.bin_02_01_  ;    1.947 ;  -0.0204 ;   0.0012 ;     4.74 ;  EUC_LE1_VIS-02522-1-W_20240709T070539.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_072325_W_5215DF06.VIS.bin_01_01_  ;    1.993 ;  -0.0262 ;   0.0067 ;    19.63 ;  EUC_LE1_VIS-02522-1-W_20240709T072325.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_074111_W_5215DF80.VIS.bin_01_01_  ;    1.985 ;  -0.0188 ;   0.0070 ;    27.04 ;  EUC_LE1_VIS-02522-1-W_20240709T074111.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_080153_W_5215E002.VIS.bin_01_01_  ;    1.968 ;  -0.0202 ;   0.0044 ;    12.63 ;  EUC_LE1_VIS-02523-1-W_20240709T080153.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_080153_W_5215E002.VIS.bin_02_01_  ;    1.964 ;  -0.0188 ;  -0.0034 ;    19.26 ;  EUC_LE1_VIS-02523-1-W_20240709T080153.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_081939_W_5215E082.VIS.bin_01_01_  ;    1.988 ;  -0.0204 ;   0.0055 ;    24.04 ;  EUC_LE1_VIS-02523-1-W_20240709T081939.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_081939_W_5215E082.VIS.bin_02_01_  ;    1.955 ;  -0.0180 ;  -0.0006 ;    11.54 ;  EUC_LE1_VIS-02523-1-W_20240709T081939.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_083725_W_5215E104.VIS.bin_01_01_  ;    1.978 ;  -0.0181 ;   0.0062 ;    22.87 ;  EUC_LE1_VIS-02523-1-W_20240709T083725.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_085511_W_5215E180.VIS.bin_01_01_  ;    1.977 ;  -0.0195 ;   0.0066 ;    20.47 ;  EUC_LE1_VIS-02523-1-W_20240709T085511.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_091550_W_5215E202.VIS.bin_01_01_  ;    1.985 ;  -0.0178 ;   0.0058 ;    27.31 ;  EUC_LE1_VIS-02524-1-W_20240709T091550.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_091550_W_5215E202.VIS.bin_02_01_  ;    1.964 ;  -0.0186 ;  -0.0029 ;    18.43 ;  EUC_LE1_VIS-02524-1-W_20240709T091550.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_093336_W_5215E282.VIS.bin_01_01_  ;    1.975 ;  -0.0189 ;   0.0075 ;    21.81 ;  EUC_LE1_VIS-02524-1-W_20240709T093336.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_093336_W_5215E282.VIS.bin_02_01_  ;    1.953 ;  -0.0203 ;   0.0000 ;     7.56 ;  EUC_LE1_VIS-02524-1-W_20240709T093336.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_095122_W_5215E306.VIS.bin_01_01_  ;    1.968 ;  -0.0205 ;   0.0058 ;    13.48 ;  EUC_LE1_VIS-02524-1-W_20240709T095122.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_100908_W_5215E388.VIS.bin_01_01_  ;    1.997 ;  -0.0289 ;   0.0054 ;    16.91 ;  EUC_LE1_VIS-02524-1-W_20240709T100908.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_102946_W_5215E402.VIS.bin_01_01_  ;    1.982 ;  -0.0206 ;   0.0063 ;    21.08 ;  EUC_LE1_VIS-02525-1-W_20240709T102946.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_102946_W_5215E402.VIS.bin_02_01_  ;    1.996 ;  -0.0312 ;   0.0026 ;    12.92 ;  EUC_LE1_VIS-02525-1-W_20240709T102946.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_104732_W_5215E482.VIS.bin_01_01_  ;    1.981 ;  -0.0230 ;   0.0079 ;    19.62 ;  EUC_LE1_VIS-02525-1-W_20240709T104732.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_104732_W_5215E482.VIS.bin_02_01_  ;    1.976 ;  -0.0234 ;   0.0050 ;    12.69 ;  EUC_LE1_VIS-02525-1-W_20240709T104732.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_110518_W_5215E504.VIS.bin_01_01_  ;    1.977 ;  -0.0187 ;   0.0055 ;    20.43 ;  EUC_LE1_VIS-02525-1-W_20240709T110518.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_112304_W_5215E580.VIS.bin_01_01_  ;    1.972 ;  -0.0199 ;   0.0062 ;    16.69 ;  EUC_LE1_VIS-02525-1-W_20240709T112304.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_114343_W_5215E602.VIS.bin_01_01_  ;    1.987 ;  -0.0249 ;   0.0070 ;    18.60 ;  EUC_LE1_VIS-02526-1-W_20240709T114343.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_114343_W_5215E602.VIS.bin_02_01_  ;    1.961 ;  -0.0233 ;   0.0053 ;     7.25 ;  EUC_LE1_VIS-02526-1-W_20240709T114343.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_120129_W_5215E682.VIS.bin_01_01_  ;    1.985 ;  -0.0233 ;   0.0077 ;    20.90 ;  EUC_LE1_VIS-02526-1-W_20240709T120129.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_120129_W_5215E682.VIS.bin_02_01_  ;    1.949 ;  -0.0185 ;   0.0021 ;     6.78 ;  EUC_LE1_VIS-02526-1-W_20240709T120129.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_121915_W_5215E706.VIS.bin_01_01_  ;    1.979 ;  -0.0203 ;   0.0038 ;    17.71 ;  EUC_LE1_VIS-02526-1-W_20240709T121915.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_123701_W_5215E788.VIS.bin_01_01_  ;    1.980 ;  -0.0215 ;   0.0064 ;    18.73 ;  EUC_LE1_VIS-02526-1-W_20240709T123701.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_125739_W_5215E802.VIS.bin_01_01_  ;    1.989 ;  -0.0204 ;   0.0068 ;    26.34 ;  EUC_LE1_VIS-02527-1-W_20240709T125739.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_125739_W_5215E802.VIS.bin_02_01_  ;    1.990 ;  -0.0290 ;   0.0072 ;    15.88 ;  EUC_LE1_VIS-02527-1-W_20240709T125739.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_131525_W_5215E882.VIS.bin_01_01_  ;    1.998 ;  -0.0198 ;   0.0075 ;    34.77 ;  EUC_LE1_VIS-02527-1-W_20240709T131525.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_131525_W_5215E882.VIS.bin_02_01_  ;    1.984 ;  -0.0251 ;  -0.0050 ;    24.67 ;  EUC_LE1_VIS-02527-1-W_20240709T131525.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_133311_W_5215E904.VIS.bin_01_01_  ;    1.994 ;  -0.0205 ;   0.0041 ;    26.67 ;  EUC_LE1_VIS-02527-1-W_20240709T133311.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_135057_W_5215E980.VIS.bin_01_01_  ;    1.984 ;  -0.0199 ;   0.0060 ;    23.03 ;  EUC_LE1_VIS-02527-1-W_20240709T135057.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_141139_W_5215EA02.VIS.bin_01_01_  ;    1.983 ;  -0.0225 ;   0.0064 ;    18.87 ;  EUC_LE1_VIS-02528-1-W_20240709T141139.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_141139_W_5215EA02.VIS.bin_02_01_  ;    1.973 ;  -0.0222 ;   0.0018 ;    11.98 ;  EUC_LE1_VIS-02528-1-W_20240709T141139.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_142925_W_5215EA82.VIS.bin_01_01_  ;    1.991 ;  -0.0257 ;   0.0072 ;    19.99 ;  EUC_LE1_VIS-02528-1-W_20240709T142925.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_142925_W_5215EA82.VIS.bin_02_01_  ;    2.000 ;  -0.0257 ;   0.0049 ;    22.25 ;  EUC_LE1_VIS-02528-1-W_20240709T142925.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_144711_W_5215EB06.VIS.bin_01_01_  ;    1.984 ;  -0.0213 ;   0.0036 ;    18.85 ;  EUC_LE1_VIS-02528-1-W_20240709T144711.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_150457_W_5215EB88.VIS.bin_01_01_  ;    1.996 ;  -0.0224 ;   0.0073 ;    28.10 ;  EUC_LE1_VIS-02528-1-W_20240709T150457.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_152535_W_5215EC02.VIS.bin_01_01_  ;    1.996 ;  -0.0213 ;   0.0080 ;    31.37 ;  EUC_LE1_VIS-02529-1-W_20240709T152535.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_152535_W_5215EC02.VIS.bin_02_01_  ;    1.966 ;  -0.0165 ;  -0.0001 ;    18.21 ;  EUC_LE1_VIS-02529-1-W_20240709T152535.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_154321_W_5215EC82.VIS.bin_01_01_  ;    1.983 ;  -0.0218 ;   0.0063 ;    19.76 ;  EUC_LE1_VIS-02529-1-W_20240709T154321.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_154321_W_5215EC82.VIS.bin_02_01_  ;    1.983 ;  -0.0260 ;   0.0017 ;    12.17 ;  EUC_LE1_VIS-02529-1-W_20240709T154321.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_160107_W_5215ED04.VIS.bin_01_01_  ;    1.984 ;  -0.0210 ;   0.0087 ;    25.86 ;  EUC_LE1_VIS-02529-1-W_20240709T160107.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_161853_W_5215ED80.VIS.bin_01_01_  ;    1.986 ;  -0.0191 ;   0.0055 ;    25.14 ;  EUC_LE1_VIS-02529-1-W_20240709T161853.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_163931_W_5215EE02.VIS.bin_01_01_  ;    1.974 ;  -0.0196 ;   0.0074 ;    19.99 ;  EUC_LE1_VIS-02530-1-W_20240709T163931.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_163931_W_5215EE02.VIS.bin_02_01_  ;    1.984 ;  -0.0241 ;   0.0053 ;    15.92 ;  EUC_LE1_VIS-02530-1-W_20240709T163931.000000Z_02_01_01.00_EUCLIDSOC
C_20240709_165717_W_5215EE82.VIS.bin_01_01_  ;    1.975 ;  -0.0197 ;   0.0050 ;    17.24 ;  EUC_LE1_VIS-02530-1-W_20240709T165717.000000Z_01_01_01.00_EUCLIDSOC
C_20240709_165717_W_5215EE82.VIS.bin_02_01_  ;    1.961 ;  -0.0269 ;   0.0024 ;     3.67 ;  EUC_LE1_VIS-02530-1-W_20240709T165717.000000Z_02_01_01.00_EUCLIDSOC
