image , R2 , e1 , e2 , score 
C_20240705_005753_W_52151D02.VIS.bin_01_01_  ,    1.969 ,  -0.0192 ,   0.0058 ,    15.74
C_20240705_005753_W_52151D02.VIS.bin_02_01_  ,    1.980 ,  -0.0277 ,   0.0173 ,    48.90
C_20240705_011539_W_52151D84.VIS.bin_01_01_  ,    1.974 ,  -0.0190 ,   0.0059 ,    18.72
C_20240705_013325_W_52151E08.VIS.bin_01_01_  ,    1.976 ,  -0.0177 ,   0.0068 ,    23.26
C_20240705_015408_W_52151E82.VIS.bin_01_01_  ,    1.973 ,  -0.0181 ,   0.0058 ,    19.53
C_20240705_015408_W_52151E82.VIS.bin_02_01_  ,    1.968 ,  -0.0261 ,  -0.0027 ,    11.62
C_20240705_021154_W_52151F02.VIS.bin_01_01_  ,    1.979 ,  -0.0220 ,   0.0052 ,    16.11
C_20240705_021154_W_52151F02.VIS.bin_02_01_  ,    2.007 ,  -0.0369 ,   0.0037 ,    14.13
C_20240705_022940_W_52151F86.VIS.bin_01_01_  ,    1.992 ,  -0.0257 ,   0.0106 ,    28.39
C_20240705_024726_W_52152000.VIS.bin_01_01_  ,    1.982 ,  -0.0222 ,   0.0065 ,    18.91
C_20240705_030804_W_52152082.VIS.bin_01_01_  ,    1.983 ,  -0.0242 ,   0.0059 ,    15.94
C_20240705_030804_W_52152082.VIS.bin_02_01_  ,    1.951 ,  -0.0157 ,   0.0010 ,    11.49
C_20240705_032550_W_52152102.VIS.bin_01_01_  ,    1.969 ,  -0.0182 ,   0.0032 ,    15.53
C_20240705_032550_W_52152102.VIS.bin_02_01_  ,    1.960 ,  -0.0175 ,  -0.0012 ,    15.13
C_20240705_034336_W_52152184.VIS.bin_01_01_  ,    1.975 ,  -0.0219 ,   0.0059 ,    15.01
C_20240705_040122_W_52152200.VIS.bin_01_01_  ,    1.971 ,  -0.0187 ,   0.0035 ,    15.85
C_20240705_042202_W_52152282.VIS.bin_01_01_  ,    1.967 ,  -0.0171 ,   0.0041 ,    16.58
C_20240705_042202_W_52152282.VIS.bin_02_01_  ,    1.948 ,  -0.0172 ,  -0.0015 ,    11.20
C_20240705_043948_W_52152302.VIS.bin_01_01_  ,    1.980 ,  -0.0222 ,   0.0069 ,    18.46
C_20240705_043948_W_52152302.VIS.bin_02_01_  ,    1.978 ,  -0.0300 ,  -0.0053 ,    18.95
C_20240705_045734_W_52152386.VIS.bin_01_01_  ,    1.965 ,  -0.0166 ,   0.0090 ,    23.38
C_20240705_051520_W_52152408.VIS.bin_01_01_  ,    1.973 ,  -0.0184 ,   0.0059 ,    19.15
C_20240705_053604_W_52152482.VIS.bin_01_01_  ,    1.978 ,  -0.0212 ,   0.0030 ,    15.61
C_20240705_053604_W_52152482.VIS.bin_02_01_  ,    1.967 ,  -0.0281 ,  -0.0003 ,     6.33
C_20240705_055350_W_52152502.VIS.bin_01_01_  ,    1.973 ,  -0.0172 ,   0.0025 ,    19.32
C_20240705_055350_W_52152502.VIS.bin_02_01_  ,    1.975 ,  -0.0215 ,  -0.0008 ,    16.01
C_20240705_061136_W_52152584.VIS.bin_01_01_  ,    1.982 ,  -0.0188 ,   0.0031 ,    21.79
C_20240705_062922_W_52152600.VIS.bin_01_01_  ,    1.978 ,  -0.0160 ,   0.0053 ,    25.83
C_20240705_065000_W_52152682.VIS.bin_01_01_  ,    1.990 ,  -0.0221 ,   0.0059 ,    22.82
C_20240705_065000_W_52152682.VIS.bin_02_01_  ,    1.981 ,  -0.0224 ,   0.0022 ,    15.49
C_20240705_070746_W_52152702.VIS.bin_01_01_  ,    1.985 ,  -0.0203 ,   0.0035 ,    21.05
C_20240705_070746_W_52152702.VIS.bin_02_01_  ,    1.964 ,  -0.0204 ,   0.0068 ,    13.22
C_20240705_072532_W_52152786.VIS.bin_01_01_  ,    1.988 ,  -0.0211 ,   0.0076 ,    25.84
C_20240705_074318_W_52152808.VIS.bin_01_01_  ,    1.979 ,  -0.0178 ,   0.0059 ,    23.64
C_20240705_080356_W_52152882.VIS.bin_01_01_  ,    1.989 ,  -0.0183 ,   0.0055 ,    28.67
C_20240705_080356_W_52152882.VIS.bin_02_01_  ,    2.003 ,  -0.0291 ,   0.0046 ,    19.19
C_20240705_082142_W_52152902.VIS.bin_01_01_  ,    1.992 ,  -0.0216 ,   0.0053 ,    24.25
C_20240705_082142_W_52152902.VIS.bin_02_01_  ,    2.003 ,  -0.0253 ,  -0.0010 ,    26.47
C_20240705_083928_W_52152984.VIS.bin_01_01_  ,    1.984 ,  -0.0194 ,   0.0082 ,    27.51
C_20240705_085714_W_52152A00.VIS.bin_01_01_  ,    2.003 ,  -0.0226 ,   0.0060 ,    30.56
C_20240705_091801_W_52152A82.VIS.bin_01_01_  ,    1.995 ,  -0.0234 ,   0.0071 ,    25.45
C_20240705_091801_W_52152A82.VIS.bin_02_01_  ,    1.965 ,  -0.0224 ,   0.0057 ,     9.91
C_20240705_093547_W_52152B02.VIS.bin_01_01_  ,    1.981 ,  -0.0188 ,   0.0061 ,    23.28
C_20240705_093547_W_52152B02.VIS.bin_02_01_  ,    1.966 ,  -0.0259 ,   0.0002 ,     6.80
C_20240705_095333_W_52152B86.VIS.bin_01_01_  ,    1.998 ,  -0.0226 ,   0.0061 ,    27.27
C_20240705_101119_W_52152C08.VIS.bin_01_01_  ,    2.001 ,  -0.0255 ,   0.0063 ,    24.67
C_20240705_103157_W_52152C82.VIS.bin_01_01_  ,    1.966 ,  -0.0172 ,   0.0055 ,    16.99
C_20240705_103157_W_52152C82.VIS.bin_02_01_  ,    1.970 ,  -0.0244 ,   0.0032 ,     8.22
C_20240705_104943_W_52152D02.VIS.bin_01_01_  ,    1.977 ,  -0.0209 ,   0.0061 ,    17.64
C_20240705_104943_W_52152D02.VIS.bin_02_01_  ,    1.974 ,  -0.0165 ,  -0.0037 ,    28.93
C_20240705_110729_W_52152D84.VIS.bin_01_01_  ,    1.970 ,  -0.0225 ,   0.0083 ,    15.96
C_20240705_112515_W_52152E00.VIS.bin_01_01_  ,    1.975 ,  -0.0217 ,   0.0052 ,    14.53
C_20240705_114618_W_52152E82.VIS.bin_01_01_  ,    1.988 ,  -0.0185 ,   0.0072 ,    29.90
C_20240705_114618_W_52152E82.VIS.bin_02_01_  ,    1.977 ,  -0.0234 ,  -0.0041 ,    20.94
C_20240705_120404_W_52152F02.VIS.bin_01_01_  ,    1.959 ,  -0.0198 ,   0.0053 ,    10.06
C_20240705_120404_W_52152F02.VIS.bin_02_01_  ,    1.989 ,  -0.0245 ,   0.0030 ,    16.78
C_20240705_122150_W_52152F86.VIS.bin_01_01_  ,    1.956 ,  -0.0161 ,   0.0041 ,    12.84
C_20240705_123936_W_52153000.VIS.bin_01_01_  ,    1.974 ,  -0.0182 ,   0.0049 ,    19.03
C_20240705_130014_W_52153082.VIS.bin_01_01_  ,    1.984 ,  -0.0208 ,   0.0050 ,    20.48
C_20240705_130014_W_52153082.VIS.bin_02_01_  ,    1.965 ,  -0.0155 ,   0.0009 ,    18.52
C_20240705_131800_W_52153102.VIS.bin_01_01_  ,    1.979 ,  -0.0172 ,   0.0054 ,    24.21
C_20240705_131800_W_52153102.VIS.bin_02_01_  ,    1.982 ,  -0.0197 ,   0.0005 ,    21.12
C_20240705_133546_W_52153184.VIS.bin_01_01_  ,    1.991 ,  -0.0159 ,   0.0083 ,    39.67
C_20240705_135332_W_52153208.VIS.bin_01_01_  ,    1.998 ,  -0.0192 ,   0.0050 ,    32.73
C_20240705_141411_W_52153282.VIS.bin_01_01_  ,    1.979 ,  -0.0210 ,   0.0059 ,    18.30
C_20240705_141411_W_52153282.VIS.bin_02_01_  ,    1.988 ,  -0.0235 ,   0.0040 ,    17.92
C_20240705_143157_W_52153302.VIS.bin_01_01_  ,    1.994 ,  -0.0232 ,   0.0083 ,    27.39
C_20240705_143157_W_52153302.VIS.bin_02_01_  ,    1.976 ,  -0.0289 ,   0.0061 ,     8.95
C_20240705_144943_W_52153386.VIS.bin_01_01_  ,    1.970 ,  -0.0191 ,   0.0039 ,    14.88
C_20240705_150729_W_52153400.VIS.bin_01_01_  ,    4.802 ,  -0.2074 ,  -0.2745 , 40073.68
C_20240705_152807_W_52153482.VIS.bin_01_01_  ,    1.992 ,  -0.0205 ,   0.0041 ,    25.34
C_20240705_152807_W_52153482.VIS.bin_02_01_  ,    1.961 ,  -0.0205 ,   0.0049 ,     9.67
C_20240705_154553_W_52153502.VIS.bin_01_01_  ,    1.992 ,  -0.0228 ,   0.0070 ,    24.42
C_20240705_154553_W_52153502.VIS.bin_02_01_  ,    1.959 ,  -0.0207 ,   0.0038 ,     8.03
C_20240705_160339_W_52153584.VIS.bin_01_01_  ,    1.976 ,  -0.0170 ,   0.0064 ,    23.95
C_20240705_162125_W_52153600.VIS.bin_01_01_  ,    1.983 ,  -0.0196 ,   0.0065 ,    23.61
C_20240705_164157_W_52153682.VIS.bin_01_01_  ,    1.980 ,  -0.0210 ,   0.0069 ,    20.21
C_20240705_164157_W_52153682.VIS.bin_02_01_  ,    1.959 ,  -0.0201 ,   0.0006 ,     9.33
C_20240705_165943_W_52153702.VIS.bin_01_01_  ,    2.005 ,  -0.0298 ,   0.0078 ,    23.64
C_20240705_165943_W_52153702.VIS.bin_02_01_  ,    1.968 ,  -0.0220 ,   0.0091 ,    17.49
C_20240705_171729_W_52153786.VIS.bin_01_01_  ,    1.984 ,  -0.0192 ,   0.0056 ,    23.81
C_20240705_173515_W_52153808.VIS.bin_01_01_  ,    1.974 ,  -0.0178 ,   0.0058 ,    20.60
C_20240705_175546_W_52153882.VIS.bin_01_01_  ,    1.987 ,  -0.0204 ,   0.0045 ,    22.57
C_20240705_175546_W_52153882.VIS.bin_02_01_  ,    1.981 ,  -0.0237 ,   0.0037 ,    13.88
C_20240705_181332_W_52153902.VIS.bin_01_01_  ,    1.988 ,  -0.0204 ,   0.0086 ,    29.06
C_20240705_181332_W_52153902.VIS.bin_02_01_  ,    1.961 ,  -0.0200 ,   0.0026 ,     9.38
C_20240705_183118_W_52153984.VIS.bin_01_01_  ,    1.980 ,  -0.0195 ,   0.0065 ,    22.02
C_20240705_184904_W_52153A00.VIS.bin_01_01_  ,    1.990 ,  -0.0198 ,   0.0040 ,    25.28
C_20240705_190938_W_52153A82.VIS.bin_01_01_  ,    1.982 ,  -0.0218 ,   0.0054 ,    18.16
C_20240705_190938_W_52153A82.VIS.bin_02_01_  ,    1.961 ,  -0.0189 ,  -0.0024 ,    15.69
C_20240705_192724_W_52153B02.VIS.bin_01_01_  ,    1.976 ,  -0.0183 ,   0.0081 ,    24.51
C_20240705_192724_W_52153B02.VIS.bin_02_01_  ,    1.995 ,  -0.0214 ,   0.0005 ,    26.25
C_20240705_194510_W_52153B86.VIS.bin_01_01_  ,    1.991 ,  -0.0173 ,   0.0134 ,    52.07
C_20240705_200256_W_52153C08.VIS.bin_01_01_  ,    1.975 ,  -0.0213 ,   0.0034 ,    14.02
C_20240705_202326_W_52153C82.VIS.bin_01_01_  ,    1.979 ,  -0.0206 ,   0.0061 ,    19.15
C_20240705_202326_W_52153C82.VIS.bin_02_01_  ,    1.965 ,  -0.0172 ,   0.0039 ,    15.30
C_20240705_204112_W_52153D02.VIS.bin_01_01_  ,    1.988 ,  -0.0203 ,   0.0058 ,    24.55
C_20240705_204112_W_52153D02.VIS.bin_02_01_  ,    1.990 ,  -0.0331 ,   0.0069 ,    12.54
C_20240705_205858_W_52153D84.VIS.bin_01_01_  ,    1.992 ,  -0.0228 ,   0.0070 ,    24.42
C_20240705_211644_W_52153E00.VIS.bin_01_01_  ,    1.992 ,  -0.0192 ,   0.0081 ,    32.89
C_20240705_213719_W_52153E82.VIS.bin_01_01_  ,    1.990 ,  -0.0233 ,   0.0120 ,    35.15
C_20240705_213719_W_52153E82.VIS.bin_02_01_  ,    1.947 ,  -0.0163 ,   0.0046 ,     9.24
C_20240705_215505_W_52153F02.VIS.bin_01_01_  ,    1.977 ,  -0.0232 ,   0.0039 ,    12.68
C_20240705_215505_W_52153F02.VIS.bin_02_01_  ,    1.967 ,  -0.0200 ,   0.0059 ,    13.81
C_20240705_221251_W_52153F86.VIS.bin_01_01_  ,    1.980 ,  -0.0185 ,   0.0049 ,    21.97
C_20240705_223037_W_52154008.VIS.bin_01_01_  ,    1.979 ,  -0.0223 ,   0.0088 ,    21.46
C_20240705_225112_W_52154082.VIS.bin_01_01_  ,    1.977 ,  -0.0195 ,   0.0046 ,    18.32
C_20240705_225112_W_52154082.VIS.bin_02_01_  ,    1.955 ,  -0.0137 ,   0.0019 ,    16.00
C_20240705_230858_W_52154102.VIS.bin_01_01_  ,    1.981 ,  -0.0176 ,   0.0081 ,    28.77
C_20240705_230858_W_52154102.VIS.bin_02_01_  ,    1.983 ,  -0.0228 ,  -0.0021 ,    20.30
C_20240705_232644_W_52154184.VIS.bin_01_01_  ,    1.984 ,  -0.0203 ,   0.0037 ,    20.52
C_20240705_234430_W_52154200.VIS.bin_01_01_  ,    1.978 ,  -0.0190 ,   0.0039 ,    19.31
C_20240706_000529_W_52154282.VIS.bin_01_01_  ,    1.977 ,  -0.0206 ,   0.0055 ,    17.39
C_20240706_000529_W_52154282.VIS.bin_02_01_  ,    1.977 ,  -0.0244 ,   0.0014 ,    11.36
C_20240706_002315_W_52154302.VIS.bin_01_01_  ,    1.978 ,  -0.0193 ,   0.0043 ,    19.01
C_20240706_002315_W_52154302.VIS.bin_02_01_  ,    1.977 ,  -0.0192 ,   0.0019 ,    18.29
C_20240706_004101_W_52154386.VIS.bin_01_01_  ,    1.974 ,  -0.0183 ,   0.0059 ,    19.87
C_20240706_005847_W_52154400.VIS.bin_01_01_  ,    1.990 ,  -0.0215 ,   0.0061 ,    24.07
C_20240706_011917_W_52154482.VIS.bin_01_01_  ,    1.977 ,  -0.0175 ,   0.0056 ,    22.64
C_20240706_011917_W_52154482.VIS.bin_02_01_  ,    2.063 ,  -0.0683 ,   0.0135 ,    69.02
C_20240706_013703_W_52154502.VIS.bin_01_01_  ,    1.977 ,  -0.0177 ,   0.0040 ,    21.04
C_20240706_013703_W_52154502.VIS.bin_02_01_  ,    1.973 ,  -0.0259 ,   0.0033 ,     8.02
C_20240706_015449_W_52154584.VIS.bin_01_01_  ,    1.991 ,  -0.0238 ,   0.0059 ,    20.76
C_20240706_021235_W_52154608.VIS.bin_01_01_  ,    1.983 ,  -0.0201 ,   0.0068 ,    23.19
C_20240706_023307_W_52154682.VIS.bin_01_01_  ,    1.972 ,  -0.0196 ,   0.0143 ,    39.97
C_20240706_023307_W_52154682.VIS.bin_02_01_  ,    2.021 ,  -0.0227 ,   0.0003 ,    43.54
C_20240706_025053_W_52154702.VIS.bin_01_01_  ,    1.962 ,  -0.0165 ,   0.0072 ,    18.42
C_20240706_025053_W_52154702.VIS.bin_02_01_  ,    2.007 ,  -0.0217 ,   0.0009 ,    33.90
C_20240706_030839_W_52154786.VIS.bin_01_01_  ,    1.984 ,  -0.0210 ,   0.0071 ,    22.76
C_20240706_032625_W_52154800.VIS.bin_01_01_  ,    1.968 ,  -0.0158 ,   0.0033 ,    19.05
C_20240706_060749_C_56154A00.VIS.bin_01_01_  ,    1.958 ,  -0.0182 ,   0.0049 ,    11.29
C_20240706_061719_C_56154A80.VIS.bin_01_01_  ,    1.964 ,  -0.0185 ,   0.0066 ,    15.43
C_20240706_062404_C_56154B00.VIS.bin_01_01_  ,    1.966 ,  -0.0210 ,   0.0023 ,    10.26
C_20240706_063049_C_56154B80.VIS.bin_01_01_  ,    1.972 ,  -0.0224 ,   0.0044 ,    11.65
C_20240706_063734_C_56154C00.VIS.bin_01_01_  ,    1.974 ,  -0.0222 ,   0.0083 ,    18.08
C_20240706_064419_C_56154C80.VIS.bin_01_01_  ,    1.968 ,  -0.0230 ,   0.0013 ,     9.18
C_20240706_065104_C_56154D00.VIS.bin_01_01_  ,    1.963 ,  -0.0181 ,   0.0064 ,    15.25
C_20240706_065749_C_56154D80.VIS.bin_01_01_  ,    1.964 ,  -0.0220 ,   0.0060 ,    10.30
C_20240706_070434_C_56154E00.VIS.bin_01_01_  ,    1.985 ,  -0.0320 ,   0.0023 ,     8.14
C_20240706_071259_C_56154E80.VIS.bin_01_01_  ,    1.979 ,  -0.0242 ,   0.0089 ,    19.28
C_20240706_071944_C_56154F00.VIS.bin_01_01_  ,    1.955 ,  -0.0189 ,   0.0047 ,     9.09
C_20240706_072629_C_56154F80.VIS.bin_01_01_  ,    1.975 ,  -0.0253 ,   0.0056 ,    10.81
C_20240706_073314_C_56155000.VIS.bin_01_01_  ,    1.974 ,  -0.0182 ,   0.0057 ,    19.80
C_20240706_073959_C_56155080.VIS.bin_01_01_  ,    1.987 ,  -0.0287 ,   0.0092 ,    18.95
C_20240706_074644_C_56155100.VIS.bin_01_01_  ,    1.975 ,  -0.0226 ,   0.0070 ,    15.65
C_20240706_075329_C_56155180.VIS.bin_01_01_  ,    1.971 ,  -0.0189 ,   0.0029 ,    15.43
C_20240706_080014_C_56155200.VIS.bin_01_01_  ,    1.973 ,  -0.0229 ,   0.0071 ,    14.55
C_20240706_080839_C_56155280.VIS.bin_01_01_  ,    1.974 ,  -0.0239 ,   0.0062 ,    12.54
C_20240706_081524_C_56155300.VIS.bin_01_01_  ,    1.964 ,  -0.0152 ,   0.0044 ,    18.40
C_20240706_082209_C_56155380.VIS.bin_01_01_  ,    1.974 ,  -0.0215 ,   0.0051 ,    14.23
C_20240706_082854_C_56155400.VIS.bin_01_01_  ,    1.974 ,  -0.0254 ,   0.0064 ,    11.30
C_20240706_083539_C_56155480.VIS.bin_01_01_  ,    1.977 ,  -0.0204 ,   0.0080 ,    21.46
C_20240706_084224_C_56155500.VIS.bin_01_01_  ,    1.968 ,  -0.0218 ,   0.0050 ,    11.08
C_20240706_084909_C_56155580.VIS.bin_01_01_  ,    1.971 ,  -0.0200 ,   0.0100 ,    23.70
C_20240706_085554_C_56155600.VIS.bin_01_01_  ,    1.984 ,  -0.0302 ,   0.0081 ,    14.18
C_20240706_090419_C_56155680.VIS.bin_01_01_  ,    1.968 ,  -0.0178 ,   0.0050 ,    16.58
C_20240706_091104_C_56155700.VIS.bin_01_01_  ,    1.977 ,  -0.0241 ,   0.0073 ,    15.27
C_20240706_091749_C_56155780.VIS.bin_01_01_  ,    1.974 ,  -0.0204 ,   0.0031 ,    14.74
C_20240706_092434_C_56155800.VIS.bin_01_01_  ,    1.977 ,  -0.0230 ,   0.0040 ,    12.97
C_20240706_093119_C_56155880.VIS.bin_01_01_  ,    1.955 ,  -0.0164 ,   0.0069 ,    14.87
C_20240706_093804_C_56155900.VIS.bin_01_01_  ,    1.983 ,  -0.0245 ,   0.0037 ,    13.86
C_20240706_094449_C_56155980.VIS.bin_01_01_  ,    1.968 ,  -0.0203 ,   0.0035 ,    12.09
C_20240706_095134_C_56155A00.VIS.bin_01_01_  ,    1.977 ,  -0.0254 ,   0.0043 ,    10.44
C_20240706_095959_C_56155A80.VIS.bin_01_01_  ,    1.969 ,  -0.0188 ,   0.0075 ,    18.83
C_20240706_100644_C_56155B00.VIS.bin_01_01_  ,    1.971 ,  -0.0247 ,   0.0062 ,    10.53
C_20240706_101329_C_56155B80.VIS.bin_01_01_  ,    1.955 ,  -0.0166 ,   0.0063 ,    13.72
C_20240706_102014_C_56155C00.VIS.bin_01_01_  ,    5.217 ,  -0.2260 ,   0.1289 , 37005.24
C_20240706_102659_C_56155C80.VIS.bin_01_01_  ,    1.962 ,  -0.0173 ,   0.0049 ,    14.32
C_20240706_103344_C_56155D00.VIS.bin_01_01_  ,    1.968 ,  -0.0208 ,   0.0046 ,    11.99
C_20240706_104029_C_56155D80.VIS.bin_01_01_  ,    1.972 ,  -0.0257 ,   0.0062 ,    10.02
C_20240706_104714_C_56155E00.VIS.bin_01_01_  ,    1.971 ,  -0.0216 ,   0.0037 ,    11.84
C_20240706_105539_C_56155E80.VIS.bin_01_01_  ,    1.968 ,  -0.0217 ,   0.0054 ,    11.57
C_20240706_110224_C_56155F00.VIS.bin_01_01_  ,    1.959 ,  -0.0147 ,   0.0051 ,    17.20
C_20240706_110909_C_56155F80.VIS.bin_01_01_  ,    1.962 ,  -0.0202 ,   0.0057 ,    11.19
C_20240706_111554_C_56156000.VIS.bin_01_01_  ,    1.959 ,  -0.0201 ,   0.0053 ,     9.71
C_20240706_112239_C_56156080.VIS.bin_01_01_  ,    1.957 ,  -0.0180 ,   0.0085 ,    16.50
C_20240706_112924_C_56156100.VIS.bin_01_01_  ,    1.966 ,  -0.0246 ,   0.0049 ,     7.46
C_20240706_113609_C_56156180.VIS.bin_01_01_  ,    1.961 ,  -0.0219 ,   0.0064 ,     9.82
C_20240706_114254_C_56156200.VIS.bin_01_01_  ,    1.959 ,  -0.0196 ,   0.0057 ,    10.71
C_20240706_115119_C_56156280.VIS.bin_01_01_  ,    1.958 ,  -0.0183 ,   0.0051 ,    11.33
C_20240706_115804_C_56156300.VIS.bin_01_01_  ,    1.962 ,  -0.0191 ,   0.0039 ,    11.17
C_20240706_120449_C_56156380.VIS.bin_01_01_  ,    2.001 ,  -0.0372 ,   0.0087 ,    18.22
C_20240706_121134_C_56156400.VIS.bin_01_01_  ,    1.965 ,  -0.0195 ,   0.0032 ,    11.74
C_20240706_121819_C_56156480.VIS.bin_01_01_  ,    1.956 ,  -0.0166 ,   0.0051 ,    12.81
C_20240706_122504_C_56156500.VIS.bin_01_01_  ,    1.953 ,  -0.0155 ,   0.0064 ,    14.59
C_20240706_123149_C_56156580.VIS.bin_01_01_  ,    1.953 ,  -0.0156 ,   0.0046 ,    12.57
C_20240706_123834_C_56156600.VIS.bin_01_01_  ,    1.963 ,  -0.0210 ,   0.0052 ,    10.14
C_20240706_124659_C_56156680.VIS.bin_01_01_  ,    1.967 ,  -0.0225 ,   0.0020 ,     9.03
C_20240706_125344_C_56156700.VIS.bin_01_01_  ,    1.957 ,  -0.0179 ,   0.0057 ,    12.04
C_20240706_130029_C_56156780.VIS.bin_01_01_  ,    1.966 ,  -0.0223 ,   0.0049 ,     9.63
C_20240706_130714_C_56156800.VIS.bin_01_01_  ,    1.958 ,  -0.0179 ,   0.0066 ,    13.61
C_20240706_131359_C_56156880.VIS.bin_01_01_  ,    1.962 ,  -0.0159 ,   0.0060 ,    17.65
C_20240706_132044_C_56156900.VIS.bin_01_01_  ,    1.962 ,  -0.0180 ,   0.0035 ,    12.53
C_20240706_132729_C_56156980.VIS.bin_01_01_  ,    1.954 ,  -0.0182 ,   0.0058 ,    10.58
C_20240706_133414_C_56156A00.VIS.bin_01_01_  ,    1.962 ,  -0.0175 ,   0.0052 ,    14.29
C_20240706_134239_C_56156A80.VIS.bin_01_01_  ,    1.965 ,  -0.0239 ,   0.0041 ,     7.18
C_20240706_134924_C_56156B00.VIS.bin_01_01_  ,    1.964 ,  -0.0188 ,   0.0057 ,    13.85
C_20240706_135609_C_56156B80.VIS.bin_01_01_  ,    1.973 ,  -0.0237 ,   0.0059 ,    11.96
C_20240706_140254_C_56156C00.VIS.bin_01_01_  ,    1.958 ,  -0.0178 ,   0.0057 ,    12.59
C_20240706_140939_C_56156C80.VIS.bin_01_01_  ,    1.971 ,  -0.0200 ,   0.0066 ,    16.60
C_20240706_141624_C_56156D00.VIS.bin_01_01_  ,    1.971 ,  -0.0253 ,   0.0079 ,    12.75
C_20240706_142309_C_56156D80.VIS.bin_01_01_  ,    1.963 ,  -0.0201 ,   0.0073 ,    13.98
C_20240706_142954_C_56156E00.VIS.bin_01_01_  ,    1.956 ,  -0.0179 ,   0.0047 ,    10.71
C_20240706_143819_C_56156E80.VIS.bin_01_01_  ,    1.968 ,  -0.0198 ,   0.0059 ,    14.53
C_20240706_144504_C_56156F00.VIS.bin_01_01_  ,    1.971 ,  -0.0198 ,   0.0076 ,    18.53
C_20240706_145149_C_56156F80.VIS.bin_01_01_  ,    1.959 ,  -0.0209 ,   0.0035 ,     7.71
C_20240706_145834_C_56157000.VIS.bin_01_01_  ,    1.958 ,  -0.0208 ,   0.0105 ,    18.66
C_20240706_150519_C_56157080.VIS.bin_01_01_  ,    1.964 ,  -0.0220 ,   0.0056 ,     9.84
C_20240706_151204_C_56157100.VIS.bin_01_01_  ,    1.971 ,  -0.0229 ,   0.0060 ,    12.12
C_20240706_151849_C_56157180.VIS.bin_01_01_  ,    1.965 ,  -0.0220 ,   0.0048 ,     9.48
C_20240706_152534_C_56157200.VIS.bin_01_01_  ,    1.969 ,  -0.0250 ,   0.0060 ,     9.28
C_20240706_153359_C_56157280.VIS.bin_01_01_  ,    1.965 ,  -0.0241 ,   0.0049 ,     7.54
C_20240706_154044_C_56157300.VIS.bin_01_01_  ,    1.965 ,  -0.0193 ,   0.0080 ,    17.17
C_20240706_154729_C_56157380.VIS.bin_01_01_  ,    1.956 ,  -0.0221 ,   0.0058 ,     7.22
C_20240706_155414_C_56157400.VIS.bin_01_01_  ,    1.975 ,  -0.0230 ,   0.0061 ,    13.87
C_20240706_160059_C_56157480.VIS.bin_01_01_  ,    1.973 ,  -0.0245 ,   0.0052 ,    10.39
C_20240706_160744_C_56157500.VIS.bin_01_01_  ,    1.964 ,  -0.0203 ,   0.0074 ,    14.32
C_20240706_161429_C_56157580.VIS.bin_01_01_  ,    1.965 ,  -0.0185 ,   0.0049 ,    13.97
C_20240706_162114_C_56157600.VIS.bin_01_01_  ,    1.982 ,  -0.0262 ,   0.0038 ,    11.53
C_20240706_162939_C_56157680.VIS.bin_01_01_  ,    1.950 ,  -0.0181 ,   0.0062 ,     9.74
C_20240706_163624_C_56157700.VIS.bin_01_01_  ,    1.970 ,  -0.0253 ,   0.0068 ,    10.48
C_20240706_164309_C_56157780.VIS.bin_01_01_  ,    1.961 ,  -0.0212 ,   0.0029 ,     8.02
C_20240706_164954_C_56157800.VIS.bin_01_01_  ,    1.956 ,  -0.0198 ,   0.0046 ,     8.36
C_20240706_165639_C_56157880.VIS.bin_01_01_  ,    1.961 ,  -0.0208 ,   0.0030 ,     8.47
C_20240706_170324_C_56157900.VIS.bin_01_01_  ,    1.978 ,  -0.0289 ,   0.0053 ,     8.73
C_20240706_171009_C_56157980.VIS.bin_01_01_  ,    1.961 ,  -0.0221 ,   0.0070 ,    10.52
C_20240706_171834_C_56157A00.VIS.bin_01_01_  ,    1.968 ,  -0.0187 ,   0.0075 ,    18.49
C_20240706_172519_C_56157A80.VIS.bin_01_01_  ,    1.959 ,  -0.0169 ,   0.0056 ,    14.19
C_20240706_173204_C_56157B00.VIS.bin_01_01_  ,    1.965 ,  -0.0215 ,   0.0067 ,    12.18
C_20240706_173849_C_56157B80.VIS.bin_01_01_  ,    1.959 ,  -0.0208 ,   0.0059 ,     9.59
C_20240706_182445_W_52157C02.VIS.bin_01_01_  ,    1.977 ,  -0.0183 ,   0.0039 ,    19.93
C_20240706_182445_W_52157C02.VIS.bin_02_01_  ,    1.994 ,  -0.0296 ,  -0.0003 ,    15.13
C_20240706_184231_W_52157C82.VIS.bin_01_01_  ,    1.990 ,  -0.0223 ,   0.0109 ,    33.12
C_20240706_184231_W_52157C82.VIS.bin_02_01_  ,    1.961 ,  -0.0182 ,   0.0034 ,    11.77
C_20240706_190017_W_52157D04.VIS.bin_01_01_  ,    1.972 ,  -0.0204 ,   0.0064 ,    16.24
C_20240706_191803_W_52157D80.VIS.bin_01_01_  ,    1.969 ,  -0.0175 ,   0.0078 ,    21.43
C_20240706_193838_W_52157E02.VIS.bin_01_01_  ,    1.972 ,  -0.0205 ,   0.0068 ,    16.68
C_20240706_193838_W_52157E02.VIS.bin_02_01_  ,    1.951 ,  -0.0183 ,   0.0031 ,     7.63
C_20240706_195624_W_52157E82.VIS.bin_01_01_  ,    1.991 ,  -0.0180 ,   0.0080 ,    34.44
