image , R2 , e1 , e2 , score 
C_20240701_145855_W_52149808.VIS.bin_01_01_  ,    1.972 ,  -0.0192 ,   0.0062 ,    17.74
C_20240701_151938_W_52149882.VIS.bin_01_01_  ,    1.979 ,  -0.0179 ,   0.0053 ,    22.81
C_20240701_151938_W_52149882.VIS.bin_02_01_  ,    1.965 ,  -0.0189 ,   0.0020 ,    12.62
C_20240701_153724_W_52149902.VIS.bin_01_01_  ,    1.996 ,  -0.0241 ,   0.0057 ,    23.02
C_20240701_153724_W_52149902.VIS.bin_02_01_  ,    2.033 ,  -0.0349 ,  -0.0234 ,   158.03
C_20240701_155510_W_52149984.VIS.bin_01_01_  ,    1.975 ,  -0.0242 ,   0.0045 ,    10.97
C_20240701_161256_W_52149A00.VIS.bin_01_01_  ,    1.984 ,  -0.0211 ,   0.0067 ,    21.98
C_20240701_163334_W_52149A82.VIS.bin_01_01_  ,    1.964 ,  -0.0175 ,   0.0052 ,    15.23
C_20240701_163334_W_52149A82.VIS.bin_02_01_  ,    1.981 ,  -0.0180 ,   0.0031 ,    22.64
C_20240701_165120_W_52149B02.VIS.bin_01_01_  ,    4.680 ,   0.3191 ,   0.1181 , 63371.50
C_20240701_165120_W_52149B02.VIS.bin_02_01_  ,    2.588 ,  -0.0843 ,   0.0441 ,  1506.06
C_20240701_170906_W_52149B86.VIS.bin_01_01_  ,    1.978 ,  -0.0176 ,   0.0031 ,    21.54
C_20240701_172652_W_52149C08.VIS.bin_01_01_  ,    1.986 ,  -0.0199 ,   0.0054 ,    23.58
C_20240701_174733_W_52149C82.VIS.bin_01_01_  ,    1.975 ,  -0.0222 ,   0.0023 ,    12.77
C_20240701_174733_W_52149C82.VIS.bin_02_01_  ,    1.975 ,  -0.0290 ,   0.0092 ,    14.29
C_20240701_180519_W_52149D02.VIS.bin_01_01_  ,    1.979 ,  -0.0221 ,   0.0046 ,    15.48
C_20240701_180519_W_52149D02.VIS.bin_02_01_  ,    1.963 ,  -0.0226 ,  -0.0000 ,     8.73
C_20240701_182305_W_52149D84.VIS.bin_01_01_  ,    1.968 ,  -0.0205 ,   0.0049 ,    12.60
C_20240701_184051_W_52149E00.VIS.bin_01_01_  ,    1.974 ,  -0.0197 ,   0.0063 ,    18.14
C_20240701_190129_W_52149E82.VIS.bin_01_01_  ,    1.978 ,  -0.0213 ,   0.0044 ,    15.97
C_20240701_190129_W_52149E82.VIS.bin_02_01_  ,    1.958 ,  -0.0215 ,  -0.0016 ,    10.17
C_20240701_191915_W_52149F02.VIS.bin_01_01_  ,    1.980 ,  -0.0236 ,   0.0046 ,    14.00
C_20240701_191915_W_52149F02.VIS.bin_02_01_  ,    1.956 ,  -0.0184 ,   0.0020 ,     9.45
C_20240701_193701_W_52149F86.VIS.bin_01_01_  ,    1.973 ,  -0.0164 ,   0.0064 ,    23.28
C_20240701_195447_W_5214A008.VIS.bin_01_01_  ,    1.982 ,  -0.0187 ,   0.0019 ,    22.07
C_20240701_201554_W_5214A082.VIS.bin_01_01_  ,    1.970 ,  -0.0206 ,   0.0068 ,    15.60
C_20240701_201554_W_5214A082.VIS.bin_02_01_  ,    1.955 ,  -0.0185 ,   0.0014 ,     9.17
C_20240701_203340_W_5214A102.VIS.bin_01_01_  ,    1.972 ,  -0.0199 ,   0.0041 ,    14.79
C_20240701_203340_W_5214A102.VIS.bin_02_01_  ,    1.970 ,  -0.0208 ,   0.0026 ,    12.24
C_20240701_205126_W_5214A184.VIS.bin_01_01_  ,    1.975 ,  -0.0206 ,   0.0086 ,    21.38
C_20240701_210912_W_5214A200.VIS.bin_01_01_  ,    1.982 ,  -0.0205 ,   0.0061 ,    20.98
C_20240701_212950_W_5214A282.VIS.bin_01_01_  ,    1.976 ,  -0.0217 ,   0.0058 ,    15.64
C_20240701_212950_W_5214A282.VIS.bin_02_01_  ,    1.993 ,  -0.0223 ,   0.0016 ,    22.69
C_20240701_214736_W_5214A302.VIS.bin_01_01_  ,    1.981 ,  -0.0218 ,   0.0061 ,    18.42
C_20240701_214736_W_5214A302.VIS.bin_02_01_  ,    1.999 ,  -0.0239 ,   0.0133 ,    44.51
C_20240701_220522_W_5214A386.VIS.bin_01_01_  ,    1.974 ,  -0.0207 ,   0.0041 ,    14.63
C_20240701_222308_W_5214A400.VIS.bin_01_01_  ,    1.974 ,  -0.0187 ,   0.0084 ,    23.35
C_20240701_224413_W_5214A482.VIS.bin_01_01_  ,    1.976 ,  -0.0216 ,   0.0033 ,    14.08
C_20240701_224413_W_5214A482.VIS.bin_02_01_  ,    1.945 ,  -0.0203 ,   0.0063 ,     6.24
C_20240701_230159_W_5214A502.VIS.bin_01_01_  ,    1.992 ,  -0.0280 ,   0.0059 ,    15.94
C_20240701_230159_W_5214A502.VIS.bin_02_01_  ,    1.939 ,  -0.0180 ,   0.0006 ,     5.14
C_20240701_231945_W_5214A584.VIS.bin_01_01_  ,    1.961 ,  -0.0165 ,   0.0052 ,    15.33
C_20240701_233731_W_5214A608.VIS.bin_01_01_  ,    1.986 ,  -0.0239 ,   0.0073 ,    19.89
C_20240701_235854_W_5214A682.VIS.bin_01_01_  ,    1.998 ,  -0.0238 ,   0.0072 ,    26.84
C_20240701_235854_W_5214A682.VIS.bin_02_01_  ,    1.966 ,  -0.0293 ,   0.0034 ,     3.95
C_20240702_001640_W_5214A702.VIS.bin_01_01_  ,    1.988 ,  -0.0197 ,   0.0057 ,    25.52
C_20240702_001640_W_5214A702.VIS.bin_02_01_  ,    1.957 ,  -0.0229 ,   0.0006 ,     5.95
C_20240702_003426_W_5214A786.VIS.bin_01_01_  ,    1.981 ,  -0.0186 ,   0.0072 ,    25.25
C_20240702_005212_W_5214A800.VIS.bin_01_01_  ,    1.982 ,  -0.0219 ,   0.0074 ,    20.77
C_20240702_011251_W_5214A882.VIS.bin_01_01_  ,    6.376 ,   0.0800 ,  -0.1606 , 102360.75
C_20240702_011251_W_5214A882.VIS.bin_02_01_  ,    2.359 ,  -0.0016 ,   0.1414 ,  4671.48
C_20240702_013037_W_5214A902.VIS.bin_01_01_  ,    1.986 ,  -0.0228 ,   0.0062 ,    19.79
C_20240702_013037_W_5214A902.VIS.bin_02_01_  ,    1.945 ,  -0.0185 ,  -0.0003 ,     7.18
C_20240702_014823_W_5214A984.VIS.bin_01_01_  ,    1.973 ,  -0.0240 ,   0.0064 ,    12.28
C_20240702_020609_W_5214AA00.VIS.bin_01_01_  ,    1.967 ,  -0.0221 ,   0.0055 ,    10.80
C_20240702_022648_W_5214AA82.VIS.bin_01_01_  ,    1.990 ,  -0.0199 ,   0.0058 ,    26.56
C_20240702_022648_W_5214AA82.VIS.bin_02_01_  ,    1.978 ,  -0.0210 ,   0.0036 ,    16.03
C_20240702_024434_W_5214AB02.VIS.bin_01_01_  ,    1.970 ,  -0.0163 ,   0.0032 ,    19.26
C_20240702_024434_W_5214AB02.VIS.bin_02_01_  ,    1.987 ,  -0.0247 ,   0.0042 ,    15.85
C_20240702_030220_W_5214AB86.VIS.bin_01_01_  ,    1.995 ,  -0.0238 ,   0.0068 ,    24.34
C_20240702_032006_W_5214AC08.VIS.bin_01_01_  ,    1.980 ,  -0.0181 ,   0.0049 ,    22.69
C_20240702_034044_W_5214AC82.VIS.bin_01_01_  ,    1.996 ,  -0.0239 ,   0.0045 ,    22.28
C_20240702_034044_W_5214AC82.VIS.bin_02_01_  ,    1.972 ,  -0.0193 ,   0.0020 ,    15.43
C_20240702_035830_W_5214AD02.VIS.bin_01_01_  ,    1.978 ,  -0.0223 ,   0.0053 ,    15.29
C_20240702_035830_W_5214AD02.VIS.bin_02_01_  ,    1.989 ,  -0.0244 ,  -0.0060 ,    31.21
C_20240702_041616_W_5214AD84.VIS.bin_01_01_  ,    1.993 ,  -0.0226 ,   0.0035 ,    22.06
