#Reading 1073 moment catalogues...
#Found a total of 333175 Gaia/VIS stars for LONG_202407 with exposure time 560.52
  EXT   Fit    Not    RMSratio   C0           C1         C2        RAT0.75  RAT1.75  RAT2.75 
  3-6   7946   8277   0.0171   -0.376356   0.412162  -0.067842    -0.1054   0.1372   0.2440
3-6.E   1813   1889   0.0167   -0.379515   0.415384  -0.068808    -0.1067   0.1367   0.2424
3-6.F   2167   2261   0.0172   -0.376276   0.408019  -0.066455    -0.1076   0.1342   0.2432
3-6.G   2101   2195   0.0169   -0.375720   0.412788  -0.068093    -0.1044   0.1381   0.2445
3-6.H   1862   1932   0.0171   -0.370064   0.407351  -0.066508    -0.1020   0.1391   0.2472
  4-1   9362   9815   0.0219   -0.377043   0.416613  -0.065606    -0.1015   0.1511   0.2725
4-1.E   2368   2497   0.0207   -0.372865   0.415986  -0.065650    -0.0978   0.1541   0.2746
4-1.F   2268   2387   0.0199   -0.370615   0.418638  -0.066089    -0.0938   0.1596   0.2808
4-1.G   2266   2400   0.0198   -0.375382   0.416447  -0.065141    -0.0997   0.1539   0.2772
4-1.H   2402   2531   0.0196   -0.387350   0.413741  -0.065257    -0.1138   0.1368   0.2569
  4-2   9023   9512   0.0217   -0.377820   0.410044  -0.064130    -0.1064   0.1434   0.2648
4-2.E   2135   2263   0.0207   -0.382811   0.410440  -0.064638    -0.1113   0.1375   0.2571
4-2.F   2244   2359   0.0206   -0.372060   0.409432  -0.063536    -0.1007   0.1499   0.2734
4-2.G   2333   2471   0.0198   -0.377611   0.418566  -0.066162    -0.1009   0.1523   0.2731
4-2.H   2287   2419   0.0198   -0.383456   0.404938  -0.062611    -0.1150   0.1334   0.2566
  4-3   9266   9720   0.0227   -0.378593   0.417396  -0.067434    -0.1035   0.1453   0.2593
4-3.E   2252   2383   0.0213   -0.370563   0.417842  -0.067668    -0.0952   0.1534   0.2668
4-3.F   2285   2410   0.0201   -0.378889   0.420441  -0.067855    -0.1017   0.1491   0.2642
4-3.G   2329   2460   0.0202   -0.378502   0.421220  -0.068319    -0.1010   0.1494   0.2632
4-3.H   2347   2467   0.0207   -0.389087   0.413493  -0.066878    -0.1166   0.1297   0.2423
  4-4   9317   9723   0.0227   -0.377627   0.410273  -0.065078    -0.1065   0.1410   0.2585
4-4.E   2377   2484   0.0190   -0.378813   0.413744  -0.066440    -0.1059   0.1418   0.2565
4-4.F   2294   2420   0.0192   -0.381186   0.408848  -0.064430    -0.1108   0.1370   0.2559
4-4.G   2268   2409   0.0200   -0.393019   0.410337  -0.064775    -0.1217   0.1267   0.2455
4-4.H   2316   2410   0.0198   -0.365550   0.416645  -0.066915    -0.0907   0.1587   0.2742
  4-5   9539   9942   0.0235   -0.386602   0.408007  -0.065867    -0.1176   0.1257   0.2373
4-5.E   2378   2525   0.0199   -0.393292   0.416336  -0.067972    -0.1193   0.1271   0.2376
4-5.F   2365   2482   0.0192   -0.369889   0.402062  -0.063967    -0.1043   0.1378   0.2520
4-5.G   2354   2467   0.0197   -0.403721   0.403777  -0.064743    -0.1373   0.1046   0.2171
4-5.H   2361   2468   0.0191   -0.384208   0.413799  -0.067609    -0.1119   0.1329   0.2424
  4-6   8710   8954   0.0253   -0.364250   0.411356  -0.067368    -0.0936   0.1493   0.2575
4-6.E   2045   2118   0.0176   -0.353093   0.419167  -0.069498    -0.0778   0.1676   0.2740
4-6.F   2287   2406   0.0190   -0.362220   0.411504  -0.066952    -0.0913   0.1529   0.2631
4-6.G   2234   2327   0.0188   -0.392370   0.410201  -0.066568    -0.1222   0.1216   0.2323
4-6.H   2034   2103   0.0174   -0.357301   0.411428  -0.067271    -0.0866   0.1567   0.2654
  5-1   9705  10136   0.0204   -0.403121   0.409850  -0.064123    -0.1318   0.1177   0.2390
5-1.E   2366   2470   0.0204   -0.408041   0.409968  -0.063961    -0.1365   0.1135   0.2357
5-1.F   2447   2560   0.0192   -0.396766   0.407564  -0.063807    -0.1270   0.1211   0.2415
5-1.G   2457   2565   0.0191   -0.407859   0.410026  -0.064651    -0.1367   0.1117   0.2308
5-1.H   2418   2541   0.0199   -0.402215   0.414003  -0.064515    -0.1280   0.1247   0.2484
  5-2   9698  10110   0.0220   -0.409294   0.413278  -0.066011    -0.1365   0.1118   0.2280
5-2.E   2362   2495   0.0195   -0.415345   0.419782  -0.067575    -0.1385   0.1123   0.2280
5-2.F   2387   2497   0.0188   -0.394030   0.417626  -0.067690    -0.1189   0.1295   0.2425
5-2.G   2420   2536   0.0191   -0.415499   0.412966  -0.066509    -0.1432   0.1035   0.2172
5-2.H   2453   2582   0.0185   -0.416998   0.410541  -0.064953    -0.1456   0.1025   0.2208
  5-3   9302   9563   0.0292   -0.418245   0.415228  -0.066844    -0.1444   0.1037   0.2181
5-3.E   2313   2420   0.0201   -0.437381   0.419886  -0.068130    -0.1608   0.0888   0.2021
5-3.F   2370   2460   0.0209   -0.437423   0.413668  -0.066487    -0.1646   0.0829   0.1974
5-3.G   2192   2287   0.0203   -0.415668   0.417830  -0.067257    -0.1401   0.1096   0.2247
5-3.H   2283   2396   0.0202   -0.387035   0.413727  -0.066282    -0.1140   0.1340   0.2495
  5-4   9311   9656   0.0235   -0.397481   0.402599  -0.065259    -0.1322   0.1072   0.2161
5-4.E   2289   2396   0.0189   -0.390444   0.400838  -0.064823    -0.1263   0.1125   0.2216
5-4.F   2328   2440   0.0195   -0.381592   0.400825  -0.064419    -0.1172   0.1226   0.2335
5-4.G   2375   2482   0.0183   -0.420688   0.406341  -0.066729    -0.1535   0.0861   0.1921
5-4.H   2237   2338   0.0179   -0.400241   0.406785  -0.066450    -0.1325   0.1081   0.2159
  5-5   9307   9768   0.0192   -0.407578   0.407356  -0.067378    -0.1400   0.0990   0.2031
5-5.E   2324   2430   0.0188   -0.410844   0.404889  -0.066717    -0.1447   0.0934   0.1980
5-5.F   2232   2349   0.0182   -0.416980   0.414427  -0.069514    -0.1453   0.0954   0.1970
5-5.G   2337   2441   0.0177   -0.398234   0.402244  -0.066042    -0.1337   0.1034   0.2085
5-5.H   2396   2548   0.0198   -0.407416   0.410817  -0.067795    -0.1374   0.1039   0.2096
  5-6   8493   8811   0.0195   -0.396619   0.412812  -0.069015    -0.1258   0.1144   0.2167
5-6.E   1960   2034   0.0172   -0.386187   0.416877  -0.070799    -0.1134   0.1265   0.2248
5-6.F   2207   2292   0.0181   -0.405550   0.418854  -0.070394    -0.1310   0.1119   0.2139
5-6.G   2167   2271   0.0178   -0.408566   0.412910  -0.068278    -0.1373   0.1049   0.2106
5-6.H   2121   2214   0.0167   -0.389779   0.409387  -0.068831    -0.1215   0.1159   0.2155
  6-1   9042   9340   0.0228   -0.398391   0.412895  -0.065239    -0.1254   0.1244   0.2437
6-1.E   2375   2491   0.0189   -0.400943   0.419649  -0.067350    -0.1241   0.1272   0.2438
6-1.F   2334   2418   0.0185   -0.380410   0.411225  -0.064484    -0.1083   0.1417   0.2628
6-1.G   2346   2437   0.0182   -0.400646   0.408248  -0.063759    -0.1303   0.1185   0.2399
6-1.H   1913   1994   0.0184   -0.419718   0.419057  -0.067596    -0.1434   0.1066   0.2215
  6-2   9024   9394   0.0180   -0.416824   0.412044  -0.066958    -0.1455   0.0992   0.2099
6-2.E   2439   2537   0.0185   -0.415972   0.412358  -0.066976    -0.1444   0.1005   0.2115
6-2.F   2285   2388   0.0179   -0.421487   0.412474  -0.067127    -0.1499   0.0948   0.2052
6-2.G   2137   2194   0.0172   -0.411543   0.412585  -0.067423    -0.1400   0.1040   0.2132
6-2.H   2169   2275   0.0170   -0.418953   0.411512  -0.066517    -0.1477   0.0975   0.2097
  6-3   8438   8736   0.0191   -0.411907   0.413153  -0.066796    -0.1396   0.1065   0.2191
6-3.E   2145   2237   0.0182   -0.422830   0.415639  -0.067550    -0.1491   0.0977   0.2093
6-3.F   2138   2211   0.0184   -0.410309   0.405981  -0.064812    -0.1423   0.1017   0.2160
